year,round,pick,player,position,school
1999,2,50,"Hamilton, Venson",,
1999,2,51,"Smith, Antwain",,
1999,2,52,"Bergersen, Roberto",,
1999,2,53,"Buford, Rodney",,
1999,2,54,"Levett, Melvin",,
1999,2,55,"Clack, Kris",,
1999,2,56,"Young, Tim",,
1999,2,57,"Ginobili, Manu",,
1999,2,58,"Lucas, Eddie",,
2000,1,1,"Martin, Kenyon",,
2000,1,2,"Swift, Stromile",,
2000,1,3,"Miles, Darius",,
2000,1,4,"Fizer, Marcus",,
2000,1,5,"Miller, Mike",,
2000,1,6,"Johnson, DerMarr",,
2000,1,7,"Mihm, Chris",,
2000,1,8,"Crawford, Jamal",,
2000,1,9,"Przybilla, Joel",,
2000,1,10,"Dooling, Keyon",,
2000,1,11,"Moiso, Jerome",,
2000,1,12,"Thomas, Etan",,
2000,1,13,"Alexander, Courtney",,
2000,1,14,"Cleaves, Mateen",,
2000,1,15,"Collier, Jason",,
2000,1,16,"Turkoglu, Hedo",,
2000,1,17,"Mason, Desmond",,
2000,1,18,"Richardson, Quentin",,
2000,1,19,"Magloire, Jamaal",,
2000,1,20,"Claxton, Speedy",,
2000,1,21,"Peterson, Morris",,
2000,1,22,"Harvey, Donnell",,
2000,1,23,"Stevenson, DeShawn",,
2000,1,24,"Bagaric, Dalibor",,
2000,1,25,"Tsakalidis, Jake",,
2000,1,26,"N'Diaye, Mamadou",,
2000,1,27,"Brezec, Primoz",,
2000,1,28,"Barkley, Erick",,
2000,1,29,"Madsen, Mark",,
2000,2,30,"Jaric, Marko",,
2000,2,31,"Langhi, Dan",,
2000,2,32,"Guyton, A.J.",,
2000,2,33,"Voskuhl, Jake",,
2000,2,34,"El-Amin, Khalid",,
2000,2,35,"Smith, Mike",,
2000,2,36,"Samake, Soumaila",,
2000,2,37,"House, Eddie",,
2000,2,38,"Najera, Eduardo",,
2000,2,39,"Postell, Lavor",,
2000,2,40,"Mottola, Eduardo",,
2000,2,41,"Carrawell, Chris",,
2000,2,42,"Oyedeji, Olumide",,
2000,2,43,"Redd, Michael",,
2000,2,44,"Cardinal, Brian",,
2000,2,45,"Smith, Jabari",,
2000,2,46,"Hulett, DeeAndre",,
2000,2,47,"Sesar, Josip",,
2000,2,48,"Karcher, Mark",,
2000,2,49,"Hart, Jason",,
2000,2,50,"Dickens, Kaniel",,
2000,2,51,"Rakocevic, Igor",,
2000,2,52,"Brown, Ernest",,
2000,2,53,"McClintock, Dan",,
2000,2,54,"Hightower, Cory",,
2000,2,55,"Porter, Chris",,
2000,2,56,"Walls, Jaquay",,
2000,2,57,"Penn, Scoonie",,
2000,2,58,"Mickeal, Pete",,
2001,1,1,"Brown, Kwame",,
2001,1,2,"Chandler, Tyson",,
2001,1,3,"Gasol, Pau",,
2001,1,4,"Curry, Eddy",,
2001,1,5,"Richardson, Jason",,
2001,1,6,"Battier, Shane",,
2001,1,7,"Griffin, Eddie",,
2001,1,8,"Diop, DeSagana",,
2001,1,9,"White, Rodney",,
2001,1,10,"Johnson, Joe",,
2001,1,11,"Brown, Kedrick",,
2001,1,12,"Radmanovic, Vladimir",,
2001,1,13,"Jefferson, Richard",,
2001,1,14,"Murphy, Troy",,
2001,1,15,"Hunter, Steven",,
2001,1,16,"Haston, Kirk",,
2001,1,17,"Bradley, Michael",,
2001,1,18,"Collins, Jason",,
2001,1,19,"Randolph, Zach",,
2001,1,20,"Haywood, Brendan",,
2001,1,21,"Forte, Joseph",,
2001,1,22,"Sasser, Jeryl",,
2001,1,23,"Armstrong, Brandon",,
2001,1,24,"Lopez, Raul",,
2001,1,25,"Wallace, Gerald",,
2001,1,26,"Dalembert, Samuel",,
2001,1,27,"Tinsley, Jamaal",,
2001,1,28,"Parker, Tony",,
2001,2,30,"Hassell, Trenton",,
2001,2,31,"Arenas, Gilbert",,
2001,2,32,"Cook, Omar",,
2001,2,33,"Solomon, Will",,
2001,2,34,"Morris, Terence",,
2001,2,35,"Scalabrine, Brian",,
2001,2,36,"Trepagnier, Jeff",,
2001,2,37,"Brown, Damone",,
2001,2,38,"Okur, Mehmet",,
2001,2,39,"Wright, Michael",,
2001,2,40,"Watson, Earl",,
2001,2,41,"Brewer, Jamison",,
2001,2,42,"Simmons, Bobby",,
2001,2,43,"Chenowith, Eric",,
2001,2,44,"Hill, Kyle",,
2001,2,45,"Lampley, Sean",,
2001,2,46,"Woods, Loren",,
2001,2,47,"Cisse, Ousmane",,
2001,2,48,"Fotsis, Antonis",,
2001,2,49,"Johnson, Ken",,
2001,2,50,"Boumtje-Boumtje, Ruben",,
2001,2,51,"Ford, Alton",,
2001,2,52,"Hutson, Andre",,
2001,2,53,"Collins, Jarron",,
2001,2,54,"Satterfield, Kenny",,
2001,2,55,"Jeffers, Maurice",,
2001,2,56,"Javtokas, Robertas",,
2001,2,57,"Jones, Alvin",,
2001,2,58,"Bracey, Bryan",,
2002,1,1,"Ming, Yao",,
2002,1,2,"Williams, Jay",,
2002,1,3,"Dunleavy Jr., Mike",,
2002,1,4,"Gooden, Drew",,
2002,1,5,"Tskitishvili, Nikoloz",,
2002,1,6,"Wagner, Dajuan",,
2002,1,7,"Hilario, Nene",,
2002,1,8,"Wilcox, Chris",,
2002,1,9,"Stoudemire, Amar'e",,
2002,1,10,"Butler, Caron",,
2002,1,11,"Jeffries, Jared",,
2002,1,12,"Ely, Melvin",,
2002,1,13,"Haislip, Marcus",,
2002,1,14,"Jones, Fred",,
2002,1,15,"Nachbar, Bostjan",,
2002,1,16,"Welsch, Jiri",,
2002,1,17,"Dixon, Juan",,
2002,1,18,"Borchardt, Curtis",,
2002,1,19,"Humphrey, Ryan",,
2002,1,20,"Rush, Kareem",,
2002,1,21,"Woods, Qyntel",,
2002,1,22,"Jacobsen, Casey",,
2002,1,23,"Prince, Tayshaun",,
2002,1,24,"Krstic, Nenad",,
2002,1,25,"Williams, Frank",,
2002,1,26,"Salmons, John",,
2002,1,27,"Jefferies, Chris",,
2002,1,28,"Dickau, Dan",,
2002,2,30,"Logan, Steve",,
2002,2,31,"Mason, Jr., Roger",,
2002,2,32,"Archibald, Robert",,
2002,2,33,"Yarbrough, Vincent",,
2002,2,34,"Gadzuric, Dan",,
2002,2,35,"Boozer, Carlos",,
2002,2,36,"Vujanic, Milos",,
2002,2,37,"Andersen, David",,
2002,2,38,"Maddox, Tito",,
2002,2,39,"Grizzard, Rod",,
2002,2,40,"Navarro, Juan Carlos",,
2002,2,41,"Kasun, Mario",,
2002,2,42,"Murray, Ronald",,
2002,2,43,"Jennings, Jason",,
2002,2,44,"Baxter, Lonny",,
2002,2,45,"Clancy, Sam",,
2002,2,46,"Barnes, Matt",,
2002,2,47,"Sampson, Jamal",,
2002,2,48,"Owens, Chris",,
2002,2,49,"Fehse, Peter",,
2002,2,50,"Songaila, Darius",,
2002,2,51,"Kammerichs, Federico",,
2002,2,52,"Taylor, Marcus",,
2002,2,53,"Butler, Rasual",,
2002,2,54,"Slay, Tamar",,
2002,2,55,"Sekularac, Mladen",,
2002,2,56,"Scola, Luis",,
2002,2,57,"Holcomb, Randy",,
2002,2,58,"Edwards, Corsley",,
2003,1,1,"James, LeBron",,
2003,1,2,"Milicic, Darko",,
2003,1,3,"Anthony, Carmelo",,
2003,1,4,"Bosh, Chris",,
2003,1,5,"Wade, Dwyane",,
2003,1,6,"Kaman, Chris",,
2003,1,7,"Hinrich, Kirk",,
2003,1,8,"Ford, T. J.",,
2003,1,9,"Sweetney, Michael",,
2003,1,10,"Hayes, Jarvis",,
2003,1,11,"Pietrus, Mickael",,
2003,1,12,"Collison, Nick",,
2003,1,13,"Banks, Marcus",,
2003,1,14,"Ridnour, Luke",,
2003,1,15,"Gaines, Reece",,
2003,1,16,"Bell, Troy",,
2003,1,17,"Cabarkapa, Zarko",,
2003,1,18,"West, David",,
2003,1,19,"Pavlovic, Sasha",,
2003,1,20,"Jones, Dahntay",,
2003,1,21,"Diaw, Boris",,
2003,1,22,"Planinic, Zoran",,
2003,1,23,"Outlaw, Travis",,
2003,1,24,"Cook, Brian",,
2003,1,25,"Delfino, Carlos",,
2003,1,26,"Ebi, Ndudi",,
2003,1,27,"Perkins, Kendrick",,
