field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36
17348,20300864,2413,1610612764,Juan,Dixon,20,4,9,0.444,0,0,0,1,1,1,0,2,3,1,0,1,0,9,H,W,2003,1610612740,0,0,0,0,6,2,0,0,20,0,2,0,0,0,2,16.2,3.6,5.4,0,0
17366,20300865,2402,1610612739,Dajuan,Wagner,17,0,4,0,0,1,0,3,4,0.75,0,0,2,2,1,1,0,3,A,L,2003,1610612741,0,0,0,0,0,0,0,0,17,0,-2,1,0,0,0,6.352941176,0,4.235294118,2.117647059,2.117647059
17367,20300865,2430,1610612739,Carlos,Boozer,36,6,11,0.545,0,0,0,0,0,0,7,6,3,1,1,2,0,12,A,L,2003,1610612741,0,0,0,0,6,0,0,1,36,0,-11,1,0,8,13,12,13,3,1,1
17392,20300866,2484,1610612759,Devin,Brown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17404,20300867,1921,1610612762,Gordan,Giricek,32,10,17,0.588,4,4,1,0,0,0,0,1,1,0,1,0,0,24,H,W,2003,1610612765,0,0,0,0,6,2,0,0,32,0,18,1,2,0,1,27,1.125,1.125,1.125,1.125
17410,20300867,2419,1610612765,Tayshaun,Prince,32,2,7,0.286,1,2,0.5,2,4,0.5,2,3,3,2,0,2,0,7,A,L,2003,1610612762,0,0,0,0,2,0,0,0,32,0,-10,1,3,2,5,7.875,5.625,3.375,0,1.125
17426,20300868,2427,1610612761,Roger,Mason,24,4,7,0.571,2,4,0.5,0,0,0,0,3,1,0,1,3,0,10,A,W,2003,1610612748,0,0,0,0,4,0,0,0,24,0,12,0,0,0,3,15,4.5,1.5,1.5,0
17427,20300868,2446,1610612748,Rasual,Butler,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,H,L,2003,1610612761,0,0,0,0,0,0,0,0,10,0,-10,0,0,0,0,0,0,0,0,0
17446,20300869,2416,1610612747,Kareem,Rush,35,4,11,0.364,3,6,0.5,3,4,0.75,0,0,2,4,0,1,0,14,A,L,2003,1610612737,0,0,0,0,0,1,0,0,35,0,2,0,3,0,0,14.4,0,2.057142857,0,0
17465,20300870,2436,1610612760,Ronald,Murray,34,7,20,0.35,2,5,0.4,3,3,1,0,4,2,4,2,1,0,19,A,L,2003,1610612742,0,0,0,0,4,8,0,0,34,0,-13,2,3,0,4,20.11764706,4.235294118,2.117647059,2.117647059,2.117647059
17503,20300872,2060,1610612746,Marko,Jaric,43,4,10,0.4,1,5,0.2,2,2,1,0,4,5,2,0,3,2,11,A,L,2003,1610612758,0,0,0,0,6,0,0,0,43,0,-1,0,0,0,4,9.209302326,3.348837209,4.186046512,0,0
17505,20300872,2404,1610612746,Chris,Wilcox,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,A,L,2003,1610612758,0,0,0,0,0,0,0,0,10,0,-4,0,0,0,0,0,0,0,0,0
17541,20300874,2407,1610612764,Jared,Jeffries,33,1,4,0.25,0,0,0,3,4,0.75,1,8,1,3,0,0,1,5,H,W,2003,1610612761,0,0,0,0,2,0,0,0,33,0,21,1,0,2,9,5.454545455,9.818181818,1.090909091,0,1.090909091
17542,20300874,2413,1610612764,Juan,Dixon,15,2,8,0.25,0,2,0,0,0,0,0,1,0,0,1,1,0,4,H,W,2003,1610612761,0,0,0,0,2,4,0,0,15,0,-7,0,0,0,1,9.6,2.4,0,2.4,0
17543,20300874,2425,1610612761,Robert,Archibald,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,L,2003,1610612764,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,9,0,0,0
17544,20300874,2427,1610612761,Roger,Mason,10,1,4,0.25,0,0,0,0,0,0,0,1,0,0,0,0,1,2,A,L,2003,1610612764,0,0,0,0,2,2,0,0,10,0,-4,1,0,0,1,7.2,3.6,0,0,3.6
17545,20300874,2437,1610612764,Lonny,Baxter,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,H,W,2003,1610612761,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,18
17546,20300874,2457,1610612761,Jannero,Pargo,9,2,7,0.286,0,1,0,0,0,0,0,1,3,1,1,0,0,4,A,L,2003,1610612764,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,16,4,12,4,0
17565,20300875,2409,1610612749,Marcus,Haislip,15,1,4,0.25,0,0,0,0,0,0,3,2,0,0,1,0,1,2,A,W,2003,1610612753,0,0,0,0,2,0,0,0,15,0,-4,0,0,2,5,4.8,12,0,2.4,0
17584,20300876,2402,1610612739,Dajuan,Wagner,20,5,12,0.417,1,4,0.25,1,2,0.5,0,2,2,4,1,0,0,12,H,W,2003,1610612737,0,0,0,0,8,4,0,0,20,0,10,1,4,1,2,21.6,3.6,3.6,1.8,1.8
17585,20300876,2430,1610612739,Carlos,Boozer,30,4,10,0.4,0,0,0,4,4,1,6,9,2,3,0,1,0,12,H,W,2003,1610612737,0,0,0,0,8,2,0,1,30,0,30,1,2,4,15,14.4,18,2.4,0,1.2
17605,20300877,2421,1610612752,Frank,Williams,6,0,0,0,0,0,0,2,2,1,0,1,1,0,1,1,0,2,H,W,2003,1610612755,0,0,0,0,0,0,0,0,6,0,-1,0,2,0,1,12,6,6,6,0
17606,20300877,2422,1610612755,John,Salmons,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,A,L,2003,1610612752,0,0,0,0,0,0,0,0,6,0,-11,0,0,0,0,0,0,0,0,0
17607,20300877,2456,1610612752,Cezary,Trybanski,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,H,W,2003,1610612755,0,0,0,0,0,0,0,0,1,0,-4,0,0,0,0,0,0,0,0,0
17667,20300880,2436,1610612760,Ronald,Murray,30,9,14,0.643,0,1,0,6,8,0.75,0,4,7,3,2,2,0,24,A,L,2003,1610612759,0,0,0,0,10,4,0,0,30,0,14,0,6,0,4,28.8,4.8,8.4,2.4,0
17668,20300880,2484,1610612759,Devin,Brown,10,0,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,H,W,2003,1610612760,0,0,0,0,0,0,0,0,10,0,-9,0,0,0,2,0,7.2,7.2,0,0
17688,20300881,2416,1610612747,Kareem,Rush,15,2,3,0.667,2,3,0.667,0,0,0,1,0,0,1,0,1,0,6,A,W,2003,1610612745,0,0,0,0,0,0,0,0,15,0,4,0,0,0,1,14.4,2.4,0,0,0
17706,20300882,2418,1610612756,Casey,Jacobsen,13,0,2,0,0,1,0,0,0,0,1,1,0,3,1,0,0,0,H,W,2003,1610612751,0,0,0,0,0,0,0,0,13,0,-7,0,0,0,2,0,5.538461538,0,2.769230769,0
17724,20300883,2060,1610612746,Marko,Jaric,31,4,10,0.4,1,2,0.5,0,0,0,0,2,5,4,1,1,1,9,H,L,2003,1610612754,0,0,0,0,6,0,0,0,31,0,-14,1,0,0,2,10.4516129,2.322580645,5.806451613,1.161290323,1.161290323
17728,20300883,2404,1610612746,Chris,Wilcox,23,3,6,0.5,0,0,0,1,2,0.5,4,6,0,1,0,1,0,7,H,L,2003,1610612754,0,0,0,0,6,0,0,0,23,0,8,1,3,4,10,10.95652174,15.65217391,0,0,1.565217391
17747,20300884,2422,1610612755,John,Salmons,29,6,10,0.6,1,2,0.5,1,1,1,1,2,3,2,0,1,0,14,H,L,2003,1610612758,0,0,0,0,6,7,0,0,29,12,17,0,4,3,3,17.37931034,3.724137931,3.724137931,0,0
17763,20300885,2409,1610612749,Marcus,Haislip,11,2,2,1,0,0,0,2,3,0.667,1,0,0,1,0,1,0,6,A,L,2003,1610612748,0,0,0,0,2,0,0,0,11,0,2,0,4,0,1,19.63636364,3.272727273,0,0,0
17765,20300885,2446,1610612748,Rasual,Butler,25,8,14,0.571,3,5,0.6,1,3,0.333,0,4,0,5,0,1,0,20,H,W,2003,1610612749,0,0,0,0,4,4,0,0,25,0,-1,0,5,0,4,28.8,5.76,0,0,0
17785,20300886,2417,1610612757,Qyntel,Woods,12,3,4,0.75,2,3,0.667,0,0,0,0,2,0,0,0,0,0,8,H,L,2003,1610612765,0,0,0,0,2,0,0,0,12,0,6,0,0,3,2,24,6,0,0,0
17786,20300886,2419,1610612765,Tayshaun,Prince,42,4,14,0.286,2,5,0.4,2,2,1,1,6,6,0,0,3,1,12,A,W,2003,1610612757,0,0,0,0,4,0,0,0,42,0,15,1,0,2,7,10.28571429,6,5.142857143,0,0.857142857
17838,20300889,2407,1610612764,Jared,Jeffries,29,2,9,0.222,0,1,0,2,2,1,4,5,2,5,1,5,1,6,A,L,2003,1610612738,0,0,0,0,4,2,0,0,29,0,-9,1,2,2,9,7.448275862,11.17241379,2.482758621,1.24137931,1.24137931
17839,20300889,2412,1610612738,Jiri,Welsch,13,2,3,0.667,0,1,0,0,0,0,0,2,2,1,1,4,0,4,H,W,2003,1610612764,0,0,0,0,2,0,0,0,13,0,-5,0,0,0,2,11.07692308,5.538461538,5.538461538,2.769230769,0
17840,20300889,2413,1610612764,Juan,Dixon,32,5,13,0.385,4,9,0.444,3,4,0.75,0,1,3,3,1,0,0,17,A,L,2003,1610612738,0,0,0,0,2,2,0,0,32,0,1,0,1,6,1,19.125,1.125,3.375,1.125,0
17860,20300890,2402,1610612739,Dajuan,Wagner,11,2,7,0.286,0,3,0,1,2,0.5,0,0,1,1,1,1,0,5,A,W,2003,1610612740,0,0,0,0,2,0,0,0,11,0,2,1,3,2,0,16.36363636,0,3.272727273,3.272727273,3.272727273
17861,20300890,2430,1610612739,Carlos,Boozer,38,8,16,0.5,0,0,0,2,2,1,3,5,1,1,1,2,1,18,A,W,2003,1610612740,0,0,0,0,12,2,0,0,38,0,9,1,2,4,8,17.05263158,7.578947368,0.947368421,0.947368421,0.947368421
17904,20300892,2484,1610612759,Devin,Brown,11,0,3,0,0,0,0,5,6,0.833,0,6,1,2,0,0,0,5,H,W,2003,1610612742,0,0,0,0,0,2,0,0,11,0,11,1,0,0,6,16.36363636,19.63636364,3.272727273,0,3.272727273
17944,20300894,2416,1610612747,Kareem,Rush,37,4,9,0.444,3,5,0.6,0,0,0,0,1,0,2,2,2,1,11,H,W,2003,1610612760,0,0,0,0,0,0,0,0,37,0,-2,0,0,0,1,10.7027027,0.972972973,0,1.945945946,0
17945,20300894,2436,1610612760,Ronald,Murray,35,11,20,0.55,0,3,0,6,7,0.857,0,5,6,5,1,4,1,28,A,L,2003,1610612747,0,0,0,0,10,4,0,0,35,0,1,1,2,4,5,28.8,5.142857143,6.171428571,1.028571429,1.028571429
17983,20300896,2446,1610612748,Rasual,Butler,30,7,15,0.467,3,7,0.429,0,0,0,0,2,1,0,0,1,1,17,H,W,2003,1610612758,0,0,0,0,8,8,0,0,30,0,15,1,3,0,2,20.4,2.4,1.2,0,1.2
17995,20300897,2060,1610612746,Marko,Jaric,33,5,10,0.5,1,1,1,2,2,1,2,1,4,2,0,3,0,13,H,L,2003,1610612763,0,0,0,0,8,2,0,0,33,0,8,1,4,3,3,14.18181818,3.272727273,4.363636364,0,1.090909091
18001,20300897,2404,1610612746,Chris,Wilcox,13,1,1,1,0,0,0,1,2,0.5,0,1,1,4,0,1,0,3,H,L,2003,1610612763,0,0,0,0,2,0,0,0,13,0,-10,0,1,0,1,8.307692308,2.769230769,2.769230769,0,0
18018,20300898,2321,1610612741,Paul,Shirley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,L,2003,1610612755,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0
18019,20300898,2422,1610612755,John,Salmons,24,3,7,0.429,2,3,0.667,0,0,0,0,4,1,1,0,1,0,8,H,W,2003,1610612741,0,0,0,0,2,0,0,0,23,53,-10,1,0,0,4,12,6,1.5,0,1.5
18041,20300899,2430,1610612739,Carlos,Boozer,39,10,16,0.625,0,0,0,2,2,1,3,10,1,3,1,1,0,22,H,W,2003,1610612749,0,0,0,0,20,6,0,1,39,0,17,2,4,2,13,20.30769231,12,0.923076923,0.923076923,1.846153846
18061,20300900,2401,1610612743,Nikoloz,Tskitishvili,12,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,H,L,2003,1610612765,0,0,0,0,0,0,0,0,12,0,-3,0,0,0,2,0,6,0,3,0
18063,20300900,2419,1610612765,Tayshaun,Prince,23,4,8,0.5,1,1,1,2,2,1,3,5,3,1,0,1,2,11,A,W,2003,1610612743,0,0,0,0,4,0,0,0,23,0,26,1,2,7,8,17.2173913,12.52173913,4.695652174,0,1.565217391
18082,20300901,2418,1610612756,Casey,Jacobsen,14,1,3,0.333,1,2,0.5,0,0,0,0,0,0,2,0,0,0,3,H,L,2003,1610612759,0,0,0,0,0,0,0,0,14,0,-1,0,0,0,0,7.714285714,0,0,0,0
18083,20300901,2484,1610612759,Devin,Brown,18,2,6,0.333,0,0,0,2,2,1,3,2,0,1,0,2,0,6,A,W,2003,1610612756,0,0,0,0,2,0,0,0,18,0,3,1,0,4,5,12,10,0,0,2
18106,20300902,2417,1610612757,Qyntel,Woods,3,1,3,0.333,0,0,0,0,0,0,0,0,1,0,1,0,0,2,H,W,2003,1610612762,0,0,0,0,2,2,0,0,3,0,-2,0,2,0,0,24,0,12,12,0
18161,20300905,2407,1610612764,Jared,Jeffries,27,2,5,0.4,0,0,0,1,2,0.5,2,2,2,2,2,1,0,5,H,L,2003,1610612752,0,0,0,0,4,1,0,0,27,0,-16,0,0,2,4,6.666666667,5.333333333,2.666666667,2.666666667,0
18162,20300905,2413,1610612764,Juan,Dixon,44,11,18,0.611,3,4,0.75,0,0,0,1,2,4,0,1,3,0,25,H,L,2003,1610612752,0,0,0,0,10,5,0,0,44,0,-4,1,4,4,3,20.45454545,2.454545455,3.272727273,0.818181818,0.818181818
18163,20300905,2437,1610612764,Lonny,Baxter,6,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,H,L,2003,1610612752,0,0,0,0,0,0,0,0,6,0,5,0,0,0,6,0,36,0,0,0
18164,20300905,2456,1610612752,Cezary,Trybanski,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,W,2003,1610612764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0
18184,20300906,2416,1610612747,Kareem,Rush,31,3,7,0.429,1,2,0.5,1,2,0.5,1,4,1,0,0,0,0,8,H,W,2003,1610612751,0,0,0,0,4,3,0,0,31,0,3,0,3,0,5,9.290322581,5.806451613,1.161290323,0,0
18223,20300908,2412,1610612738,Jiri,Welsch,29,7,12,0.583,2,5,0.4,2,2,1,0,7,0,0,2,0,0,18,A,W,2003,1610612750,0,0,0,0,10,9,0,0,29,0,9,0,2,0,7,22.34482759,8.689655172,0,2.482758621,0
18261,20300910,2419,1610612765,Tayshaun,Prince,36,5,11,0.455,2,5,0.4,2,2,1,1,2,2,0,1,0,0,14,A,W,2003,1610612760,0,0,0,0,2,0,0,0,36,0,25,0,2,2,3,14,3,2,1,0
18262,20300910,2436,1610612760,Ronald,Murray,28,2,5,0.4,1,3,0.333,0,0,0,1,4,1,0,2,4,0,5,H,L,2003,1610612765,0,0,0,0,2,2,0,0,28,0,-30,1,0,0,5,6.428571429,6.428571429,1.285714286,2.571428571,1.285714286
18279,20300911,2060,1610612746,Marko,Jaric,35,1,7,0.143,0,4,0,2,2,1,0,1,9,2,2,2,0,4,H,W,2003,1610612757,0,0,0,0,0,0,0,0,35,0,20,0,2,0,1,4.114285714,1.028571429,9.257142857,2.057142857,0
18284,20300911,2404,1610612746,Chris,Wilcox,19,1,3,0.333,0,0,0,2,2,1,1,3,1,1,1,2,0,4,H,W,2003,1610612757,0,0,0,0,2,0,0,0,19,0,-4,1,0,2,4,7.578947368,7.578947368,1.894736842,1.894736842,1.894736842
18285,20300911,2408,1610612746,Melvin,Ely,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,W,2003,1610612757,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0
18286,20300911,2417,1610612757,Qyntel,Woods,10,0,5,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,A,L,2003,1610612746,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,0,3.6,0,3.6,7.2
18324,20300913,2422,1610612755,John,Salmons,32,5,13,0.385,1,6,0.167,2,3,0.667,1,5,2,5,1,1,0,13,H,W,2003,1610612749,0,0,0,0,6,3,0,0,32,0,-4,0,0,2,6,14.625,6.75,2.25,1.125,0
18343,20300914,2402,1610612739,Dajuan,Wagner,2,0,0,0,0,0,0,1,2,0.5,0,0,0,1,0,0,0,1,A,W,2003,1610612737,0,0,0,0,0,0,0,0,2,0,-4,0,0,0,0,18,0,0,0,0
18344,20300914,2430,1610612739,Carlos,Boozer,30,9,14,0.643,0,0,0,7,8,0.875,1,10,0,5,1,1,1,25,A,W,2003,1610612737,0,0,0,0,14,6,0,1,30,0,11,0,4,0,11,30,13.2,0,1.2,0
18363,20300915,2418,1610612756,Casey,Jacobsen,31,3,10,0.3,2,6,0.333,1,2,0.5,1,2,1,2,0,4,0,9,A,L,2003,1610612742,0,0,0,0,2,0,0,0,31,0,-7,2,0,2,3,10.4516129,3.483870968,1.161290323,0,2.322580645
18380,20300916,1921,1610612762,Gordan,Giricek,34,7,17,0.412,1,2,0.5,6,6,1,1,5,2,1,4,3,0,21,H,W,2003,1610612747,0,0,0,0,6,2,0,0,34,0,9,1,5,0,6,22.23529412,6.352941176,2.117647059,4.235294118,1.058823529
18385,20300916,2416,1610612747,Kareem,Rush,42,5,11,0.455,2,4,0.5,0,0,0,1,3,1,3,1,1,2,12,A,L,2003,1610612762,0,0,0,0,2,0,0,0,42,0,2,2,2,2,4,10.28571429,3.428571429,0.857142857,0.857142857,1.714285714
18404,20300917,2401,1610612743,Nikoloz,Tskitishvili,6,2,3,0.667,0,0,0,2,2,1,0,0,0,2,0,1,0,6,A,W,2003,1610612764,0,0,0,0,2,4,0,0,6,0,3,0,4,0,0,36,0,0,0,0
18406,20300917,2407,1610612764,Jared,Jeffries,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,H,L,2003,1610612743,0,0,0,0,0,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0
18407,20300917,2413,1610612764,Juan,Dixon,40,8,18,0.444,0,5,0,3,3,1,1,4,3,1,0,2,0,19,H,L,2003,1610612743,0,0,0,0,6,0,0,0,40,0,-26,0,0,4,5,17.1,4.5,2.7,0,0
18408,20300917,2437,1610612764,Lonny,Baxter,18,4,5,0.8,0,0,0,2,2,1,1,3,0,3,0,1,0,10,H,L,2003,1610612743,0,0,0,0,4,2,0,0,18,0,-9,0,2,0,4,20,8,0,0,0
18430,20300918,2425,1610612761,Robert,Archibald,8,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,A,L,2003,1610612754,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,4.5,0
18445,20300919,2412,1610612738,Jiri,Welsch,27,1,7,0.143,0,0,0,1,2,0.5,0,3,1,2,0,0,0,3,A,W,2003,1610612752,0,0,0,0,2,0,0,0,27,0,-6,0,2,0,3,4,4,1.333333333,0,0
18461,20300920,2446,1610612748,Rasual,Butler,25,8,14,0.571,3,5,0.6,0,0,0,2,0,1,1,0,0,0,19,H,W,2003,1610612753,0,0,0,0,8,2,0,0,25,0,11,0,3,2,2,27.36,2.88,1.44,0,0
18484,20300921,2484,1610612759,Devin,Brown,7,1,2,0.5,0,0,0,0,0,0,0,2,0,1,0,1,0,2,A,L,2003,1610612763,0,0,0,0,2,0,0,0,7,0,-4,0,0,0,2,10.28571429,10.28571429,0,0,0
18498,20300922,2321,1610612741,Paul,Shirley,10,1,4,0.25,0,1,0,0,0,0,2,1,0,2,0,0,0,2,H,L,2003,1610612755,0,0,0,0,0,0,0,0,10,0,6,2,0,0,3,7.2,10.8,0,0,7.2
18499,20300922,2422,1610612755,John,Salmons,30,3,9,0.333,1,3,0.333,6,8,0.75,2,6,3,0,1,2,0,13,A,W,2003,1610612741,0,0,0,0,4,2,0,0,30,0,3,2,0,2,8,15.6,9.6,3.6,1.2,2.4
18520,20300923,2404,1610612746,Chris,Wilcox,9,0,4,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,A,L,2003,1610612745,0,0,0,0,0,0,0,0,9,0,2,1,0,0,3,0,12,0,0,4
18559,20300925,2436,1610612760,Ronald,Murray,10,1,4,0.25,0,0,0,0,0,0,0,1,2,2,0,1,0,2,H,L,2003,1610612750,0,0,0,0,2,2,0,0,10,0,-1,0,0,0,1,7.2,3.6,7.2,0,0
18576,20300926,2412,1610612738,Jiri,Welsch,24,3,6,0.5,0,1,0,2,2,1,0,2,1,1,0,1,0,8,H,L,2003,1610612747,0,0,0,0,2,0,0,0,24,0,-4,0,0,2,2,12,3,1.5,0,0
18577,20300926,2416,1610612747,Kareem,Rush,22,7,12,0.583,2,6,0.333,1,2,0.5,1,2,1,4,0,1,0,17,A,W,2003,1610612738,0,0,0,0,8,2,0,0,22,0,-3,0,5,0,3,27.81818182,4.909090909,1.636363636,0,0
18594,20300927,2407,1610612764,Jared,Jeffries,37,5,8,0.625,0,0,0,0,1,0,2,5,2,4,1,0,0,10,A,L,2003,1610612753,0,0,0,0,8,0,0,0,37,0,-4,0,2,4,7,9.72972973,6.810810811,1.945945946,0.972972973,0
18595,20300927,2413,1610612764,Juan,Dixon,12,0,4,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,A,L,2003,1610612753,0,0,0,0,0,0,0,0,12,0,-15,0,0,0,1,0,3,3,0,0
18596,20300927,2437,1610612764,Lonny,Baxter,13,1,3,0.333,0,0,0,0,0,0,0,2,0,5,0,1,1,2,A,L,2003,1610612753,0,0,0,0,2,2,0,0,13,0,-5,0,0,0,2,5.538461538,5.538461538,0,0,0
18616,20300928,2402,1610612739,Dajuan,Wagner,17,4,6,0.667,1,2,0.5,0,0,0,0,4,6,1,0,1,0,9,A,W,2003,1610612761,0,0,0,0,0,0,0,0,17,0,-1,1,0,0,4,19.05882353,8.470588235,12.70588235,0,2.117647059
18617,20300928,2425,1610612761,Robert,Archibald,11,2,3,0.667,0,0,0,2,2,1,1,0,4,2,1,0,0,6,H,L,2003,1610612739,0,0,0,0,4,0,0,0,11,0,-2,0,0,2,1,19.63636364,3.272727273,13.09090909,3.272727273,0
18618,20300928,2427,1610612761,Roger,Mason,12,1,4,0.25,0,1,0,4,5,0.8,0,2,1,0,0,0,0,6,H,L,2003,1610612739,0,0,0,0,2,3,0,0,12,0,2,0,2,0,2,18,6,3,0,0
18619,20300928,2430,1610612739,Carlos,Boozer,34,5,11,0.455,0,0,0,1,2,0.5,3,10,1,2,1,3,0,11,A,W,2003,1610612761,0,0,0,0,10,2,0,1,34,0,16,1,2,3,13,11.64705882,13.76470588,1.058823529,1.058823529,1.058823529
18657,20300930,2246,1610612765,Mehmet,Okur,15,3,5,0.6,1,1,1,0,0,0,1,3,1,2,0,2,0,7,H,W,2003,1610612741,0,0,0,0,2,0,0,0,15,0,18,0,0,2,4,16.8,9.6,2.4,0,0
18658,20300930,2321,1610612741,Paul,Shirley,19,2,5,0.4,0,0,0,0,2,0,2,1,0,3,0,3,0,4,A,L,2003,1610612765,0,0,0,0,2,0,0,0,19,0,-17,0,0,0,3,7.578947368,5.684210526,0,0,0
18659,20300930,2419,1610612765,Tayshaun,Prince,18,2,5,0.4,0,2,0,1,2,0.5,0,3,1,1,0,1,2,5,H,W,2003,1610612741,0,0,0,0,4,4,0,0,18,0,14,0,0,0,3,10,6,2,0,0
18677,20300931,2446,1610612748,Rasual,Butler,20,2,10,0.2,1,4,0.25,0,0,0,0,0,0,3,0,1,0,5,A,L,2003,1610612740,0,0,0,0,0,0,0,0,20,0,-9,0,0,0,0,9,0,0,0,0
18717,20300933,2404,1610612746,Chris,Wilcox,20,4,8,0.5,0,0,0,0,0,0,1,3,1,3,0,0,0,8,A,L,2003,1610612759,0,0,0,0,6,0,0,0,20,0,-7,0,2,0,4,14.4,7.2,1.8,0,0
18718,20300933,2408,1610612746,Melvin,Ely,12,1,4,0.25,0,0,0,3,4,0.75,2,3,0,1,0,0,1,5,A,L,2003,1610612759,0,0,0,0,2,0,0,0,12,0,6,1,0,3,5,15,15,0,0,3
18720,20300933,2484,1610612759,Devin,Brown,23,3,8,0.375,0,0,0,0,0,0,1,3,0,3,0,0,0,6,H,W,2003,1610612746,0,0,0,0,4,0,0,0,23,0,2,0,2,0,4,9.391304348,6.260869565,0,0,0
18733,20300934,1921,1610612762,Gordan,Giricek,24,3,11,0.273,0,2,0,4,4,1,1,3,1,3,1,0,0,10,H,W,2003,1610612744,0,0,0,0,6,2,0,0,24,0,-3,0,2,0,4,15,6,1.5,1.5,0
18765,20300935,2417,1610612757,Qyntel,Woods,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,W,2003,1610612750,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18828,20300938,2422,1610612755,John,Salmons,43,5,13,0.385,2,5,0.4,4,5,0.8,0,6,1,3,0,2,1,16,H,W,2003,1610612752,0,0,0,0,4,2,0,0,43,0,-8,1,0,3,6,13.39534884,5.023255814,0.837209302,0,0.837209302
18849,20300939,2410,1610612754,Fred,Jones,23,3,4,0.75,1,1,1,2,2,1,0,1,2,5,1,1,0,9,A,W,2003,1610612738,0,0,0,0,4,2,0,0,23,21,4,0,4,3,1,14.08695652,1.565217391,3.130434783,1.565217391,0
18850,20300939,2412,1610612738,Jiri,Welsch,22,4,10,0.4,0,1,0,1,1,1,1,4,2,3,0,2,0,9,H,L,2003,1610612754,0,0,0,0,6,0,0,0,21,49,-12,1,2,2,5,14.72727273,8.181818182,3.272727273,0,1.636363636
18872,20300940,2321,1610612741,Paul,Shirley,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,L,2003,1610612751,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
18891,20300941,2436,1610612760,Ronald,Murray,33,6,11,0.545,1,4,0.25,3,4,0.75,1,2,3,2,4,3,0,16,A,L,2003,1610612748,0,0,0,0,4,4,0,0,33,0,-7,0,6,2,3,17.45454545,3.272727273,3.272727273,4.363636364,0
18892,20300941,2446,1610612748,Rasual,Butler,25,2,7,0.286,1,5,0.2,0,0,0,0,2,0,2,1,2,0,5,H,W,2003,1610612760,0,0,0,0,0,0,0,0,25,0,-9,0,0,0,2,7.2,2.88,0,1.44,0
18910,20300942,2407,1610612764,Jared,Jeffries,15,1,2,0.5,0,0,0,2,2,1,2,3,0,3,0,0,0,4,A,L,2003,1610612737,0,0,0,0,2,0,0,0,15,0,9,0,2,2,5,9.6,12,0,0,0
18911,20300942,2413,1610612764,Juan,Dixon,34,6,11,0.545,4,5,0.8,5,7,0.714,0,5,5,5,0,3,0,21,A,L,2003,1610612737,0,0,0,0,4,6,0,0,34,0,-14,0,0,2,5,22.23529412,5.294117647,5.294117647,0,0
