field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36
294,20300015,2404,1610612746,Chris,Wilcox,14,2,3,0.667,0,0,0,0,0,0,0,2,1,1,0,1,0,4,A,L,2003,1610612760,0,0,0,0,4,2,0,0,14,0,1,0,0,0,2,10.28571429,5.142857143,2.571428571,0,0
295,20300015,2436,1610612760,Ronald,Murray,34,10,17,0.588,2,6,0.333,2,4,0.5,2,2,1,3,1,1,1,24,H,W,2003,1610612746,0,0,0,0,12,4,0,0,34,0,4,1,4,3,4,25.41176471,4.235294118,1.058823529,1.058823529,1.058823529
313,20300016,1921,1610612753,Gordan,Giricek,14,1,4,0.25,0,0,0,2,2,1,0,1,0,1,0,0,0,4,H,L,2003,1610612740,0,0,0,0,2,0,0,0,13,52,-3,0,0,0,1,10.28571429,2.571428571,0,0,0
316,20300016,2400,1610612753,Drew,Gooden,42,5,10,0.5,0,0,0,6,8,0.75,6,5,1,2,1,1,1,16,H,L,2003,1610612740,0,0,0,0,10,0,0,1,41,54,4,1,0,8,11,13.71428571,9.428571429,0.857142857,0.857142857,0.857142857
339,20300017,2401,1610612743,Nikoloz,Tskitishvili,16,1,6,0.167,0,0,0,2,2,1,3,3,0,2,0,1,1,4,A,L,2003,1610612745,0,0,0,0,2,0,0,0,16,0,-3,0,0,2,6,9,13.5,0,0,0
341,20300017,2411,1610612745,Bostjan,Nachbar,20,2,2,1,1,1,1,0,0,0,0,2,0,5,0,1,0,5,H,W,2003,1610612743,0,0,0,0,0,3,0,0,20,0,-8,0,0,0,2,9,3.6,0,0,0
357,20300018,2430,1610612739,Carlos,Boozer,34,5,9,0.556,0,0,0,1,1,1,1,13,2,4,1,1,0,11,A,L,2003,1610612756,0,0,0,0,10,0,0,1,34,0,-1,3,3,2,14,11.64705882,14.82352941,2.117647059,1.058823529,3.176470588
376,20300019,2407,1610612764,Jared,Jeffries,8,0,2,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,A,L,2003,1610612761,0,0,0,0,0,0,0,0,8,0,-7,0,0,0,1,0,4.5,0,4.5,0
377,20300019,2413,1610612764,Juan,Dixon,16,1,5,0.2,0,1,0,0,0,0,0,1,2,0,1,0,0,2,A,L,2003,1610612761,0,0,0,0,0,2,0,0,16,0,-4,2,0,0,1,4.5,2.25,4.5,2.25,4.5
397,20300020,2246,1610612765,Mehmet,Okur,21,1,5,0.2,0,0,0,1,4,0.25,2,2,1,4,0,3,2,3,A,W,2003,1610612748,0,0,0,0,2,0,0,0,21,5,-11,0,0,0,,5.142857143,0,1.714285714,0,0
399,20300020,2419,1610612765,Tayshaun,Prince,36,3,12,0.25,2,5,0.4,0,0,0,2,3,5,0,0,0,1,8,A,W,2003,1610612748,0,0,0,0,2,0,0,0,36,4,15,0,6,2,,8,0,5,0,0
494,20300025,2060,1610612746,Marko,Jaric,22,3,8,0.375,2,5,0.4,0,0,0,0,1,5,1,0,1,1,8,H,L,2003,1610612760,0,0,0,0,0,0,0,0,22,0,-15,0,0,0,1,13.09090909,1.636363636,8.181818182,0,0
498,20300025,2404,1610612746,Chris,Wilcox,21,5,8,0.625,0,0,0,3,3,1,4,0,2,5,0,0,0,13,H,L,2003,1610612760,0,0,0,0,8,0,0,0,21,0,-7,0,0,5,4,22.28571429,6.857142857,3.428571429,0,0
499,20300025,2408,1610612746,Melvin,Ely,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,H,L,2003,1610612760,0,0,0,0,2,0,0,0,3,0,2,0,2,0,0,24,0,12,0,0
500,20300025,2436,1610612760,Ronald,Murray,39,8,19,0.421,2,6,0.333,4,4,1,2,3,7,1,2,1,0,22,A,W,2003,1610612746,0,0,0,0,8,0,0,0,39,0,11,2,6,2,5,20.30769231,4.615384615,6.461538462,1.846153846,1.846153846
520,20300026,2422,1610612755,John,Salmons,20,2,8,0.25,0,1,0,2,2,1,3,0,2,1,2,0,0,6,A,L,2003,1610612758,0,0,0,0,0,0,0,0,20,0,-1,1,2,2,3,10.8,5.4,3.6,3.6,1.8
541,20300027,2407,1610612764,Jared,Jeffries,18,3,9,0.333,0,0,0,3,4,0.75,3,4,1,1,1,1,0,9,H,L,2003,1610612751,0,0,0,0,0,0,0,0,18,0,12,2,2,2,7,18,14,2,2,4
542,20300027,2413,1610612764,Juan,Dixon,17,4,11,0.364,1,3,0.333,0,0,0,2,3,1,1,0,1,0,9,H,L,2003,1610612751,0,0,0,0,2,2,0,0,17,0,5,0,2,0,5,19.05882353,10.58823529,2.117647059,0,0
561,20300028,2246,1610612765,Mehmet,Okur,14,1,5,0.2,0,0,0,2,2,1,4,4,0,1,0,1,0,4,A,W,2003,1610612753,0,0,0,0,2,2,0,0,14,0,5,0,0,0,8,10.28571429,20.57142857,0,0,0
563,20300028,2419,1610612765,Tayshaun,Prince,37,3,8,0.375,1,1,1,1,2,0.5,3,2,2,2,2,2,0,8,A,W,2003,1610612753,0,0,0,0,4,2,0,0,37,0,-3,0,1,2,5,7.783783784,4.864864865,1.945945946,1.945945946,0
602,20300030,2412,1610612738,Jiri,Welsch,10,1,4,0.25,0,2,0,4,4,1,0,0,1,1,0,0,0,6,A,L,2003,1610612740,0,0,0,0,2,0,0,0,10,0,0,0,2,2,0,21.6,0,3.6,0,0
647,20300032,2409,1610612749,Marcus,Haislip,6,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,H,W,2003,1610612741,0,0,0,0,2,0,0,0,6,0,7,0,2,2,3,12,18,0,0,0
648,20300032,2427,1610612741,Roger,Mason,10,0,2,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,A,L,2003,1610612749,0,0,0,0,0,0,0,0,10,0,-9,0,0,0,1,0,3.6,0,0,0
650,20300032,2437,1610612741,Lonny,Baxter,15,1,4,0.25,0,0,0,1,2,0.5,4,4,0,1,0,3,0,3,A,L,2003,1610612749,0,0,0,0,2,0,0,0,15,0,-15,0,0,0,8,7.2,19.2,0,0,0
690,20300034,2411,1610612745,Bostjan,Nachbar,6,0,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,H,L,2003,1610612763,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,0,6,0,0,0
711,20300035,2421,1610612752,Frank,Williams,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A,L,2003,1610612759,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,36,0,0,0
733,20300036,2401,1610612743,Nikoloz,Tskitishvili,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,H,W,2003,1610612758,0,0,0,0,0,0,0,0,1,56,-4,0,0,0,0,0,0,0,0,0
734,20300036,2403,1610612743,Nene,Hilario,17,3,8,0.375,0,0,0,1,1,1,0,3,1,4,0,1,0,7,H,W,2003,1610612758,0,0,0,0,4,3,0,0,16,31,7,0,5,0,3,14.82352941,6.352941176,2.117647059,0,0
753,20300037,2416,1610612747,Kareem,Rush,4,1,2,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,2,A,W,2003,1610612756,0,0,0,0,2,0,0,0,4,0,-1,0,0,0,1,18,9,0,0,0
754,20300037,2418,1610612756,Casey,Jacobsen,15,1,3,0.333,0,2,0,0,0,0,0,2,0,1,1,1,0,2,H,L,2003,1610612747,0,0,0,0,2,0,0,0,15,0,7,0,2,0,2,4.8,4.8,0,2.4,0
755,20300037,2456,1610612756,Cezary,Trybanski,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,L,2003,1610612747,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
775,20300038,2417,1610612757,Qyntel,Woods,17,5,8,0.625,3,3,1,0,0,0,1,3,2,0,1,0,0,13,H,W,2003,1610612739,0,0,0,0,2,0,0,0,16,42,20,1,0,0,4,27.52941176,8.470588235,4.235294118,2.117647059,2.117647059
776,20300038,2430,1610612739,Carlos,Boozer,32,7,9,0.778,0,0,0,1,1,1,2,7,1,4,0,1,0,15,A,L,2003,1610612757,0,0,0,0,10,0,0,0,32,26,-11,1,0,4,9,16.875,10.125,1.125,0,1.125
798,20300039,2422,1610612755,John,Salmons,20,2,7,0.286,2,5,0.4,0,0,0,0,1,1,2,1,1,1,6,A,L,2003,1610612744,0,0,0,0,0,0,0,0,20,0,2,0,3,0,1,10.8,1.8,1.8,1.8,0
818,20300040,2416,1610612747,Kareem,Rush,13,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,H,W,2003,1610612744,0,0,0,0,0,0,0,0,13,0,-1,0,0,0,0,0,0,2.769230769,0,0
836,20300041,2400,1610612753,Drew,Gooden,40,5,12,0.417,0,0,0,4,6,0.667,3,6,1,3,0,3,3,14,H,L,2003,1610612752,0,0,0,0,2,0,0,0,39,43,6,2,7,1,9,12.6,8.1,0.9,0,1.8
837,20300041,2421,1610612752,Frank,Williams,14,1,2,0.5,0,1,0,0,0,0,0,2,4,1,1,1,0,2,A,W,2003,1610612753,0,0,0,0,2,0,0,0,14,26,5,0,0,0,2,5.142857143,5.142857143,10.28571429,2.571428571,0
899,20300044,2411,1610612745,Bostjan,Nachbar,22,4,4,1,4,4,1,0,0,0,0,0,2,1,0,1,1,12,A,W,2003,1610612741,0,0,0,0,0,0,0,0,22,0,18,0,0,3,0,19.63636364,0,3.272727273,0,0
900,20300044,2427,1610612741,Roger,Mason,23,1,5,0.2,1,3,0.333,0,0,0,0,2,2,2,1,0,0,3,H,L,2003,1610612745,0,0,0,0,0,0,0,0,23,0,-16,1,0,0,2,4.695652174,3.130434783,3.130434783,1.565217391,1.565217391
901,20300044,2437,1610612741,Lonny,Baxter,9,2,5,0.4,0,0,0,0,0,0,0,0,0,1,0,1,1,4,H,L,2003,1610612745,0,0,0,0,4,0,0,0,9,0,-2,1,0,0,0,16,0,0,0,4
961,20300047,2417,1610612757,Qyntel,Woods,10,0,1,0,0,0,0,3,4,0.75,0,0,0,2,0,2,1,3,H,L,2003,1610612755,0,0,0,0,0,2,0,0,10,0,-7,1,3,0,0,10.8,0,0,0,3.6
962,20300047,2422,1610612755,John,Salmons,5,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,A,W,2003,1610612757,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7.2,0,0
