"","Name","Year","Game","Minute"
"131","robert-archibald-1","2011","24","346"
"132","paul-shirley-1","2001","20","402"
"133","paul-shirley-1","2002","1","29"
"134","paul-shirley-1","2002","8","172"
"135","paul-shirley-1","2006","8","215"
"136","paul-shirley-1","2007","29","609"
"137","paul-shirley-1","2008","3","41"
"138","paul-shirley-1","2008","1","24"
"139","ryan-humphrey-1","2005","6","106"
"140","ryan-humphrey-1","2005","11","171"
"141","ryan-humphrey-1","2012","6","71"
"142","andres-nocioni-1","1999","8","84"
"143","andres-nocioni-1","2001","20","410"
"144","andres-nocioni-1","2001","33","768"
"145","andres-nocioni-1","2002","19","553"
"146","andres-nocioni-1","2002","34","1036"
"147","andres-nocioni-1","2003","16","413"
"148","andres-nocioni-1","2003","29","880"
"149","andres-nocioni-1","2011","8","174"
"150","andres-nocioni-1","2012","33","806"
"151","andres-nocioni-1","2012","28","658"
"152","andres-nocioni-1","2013","6","157"
"153","andres-nocioni-1","2013","21","552"
"154","andres-nocioni-1","2013","30","762"
"155","andres-nocioni-1","2014","31","555"
"156","andres-nocioni-1","2014","29","514"
"157","andres-nocioni-1","2015","24","333"
"158","andres-nocioni-1","2015","25","375"
"159","andres-nocioni-1","2016","15","99"
"160","andres-nocioni-1","2016","26","301"
"161","junior-harrington-1","2005","34","752"
"162","junior-harrington-1","2008","1","26"
"163","junior-harrington-1","2009","16","211"
"164","junior-harrington-1","2012","5","70"
"165","francisco-garcia-1","1988","3","19"
"166","francisco-garcia-1","1992","7","28"
"167","francisco-garcia-1","1993","12","68"
"168","francisco-garcia-1","2013","5","141"
"169","pat-burke-1","1997","34","848"
"170","pat-burke-1","2001","26","805"
"171","pat-burke-1","2003","20","407"
"172","pat-burke-1","2003","7","175"
"173","pat-burke-1","2003","13","298"
"174","pat-burke-1","2004","19","325"
"175","pat-burke-1","2004","31","589"
"176","pat-burke-1","2007","11","133"
"177","pat-burke-1","2008","15","359"
"178","john-lucas-1","2005","2","46"
"179","john-lucas-1","2007","4","102"
"180","john-lucas-1","2007","7","103"
"181","john-lucas-1","2008","1","20"
"182","john-lucas-1","2014","28","1208"
"183","maceo-baston-1","2000","32","963"
"184","maceo-baston-1","2001","34","1032"
"185","maceo-baston-1","2002","9","257"
"186","maceo-baston-1","2002","16","478"
"187","maceo-baston-1","2003","21","502"
"188","maceo-baston-1","2004","24","566"
"189","maceo-baston-1","2005","25","608"
"190","pj-tucker-1","2010","12","407"
"191","pj-tucker-1","2010","18","584"
"192","pj-tucker-1","2010","3","103"
"193","pj-tucker-1","2011","10","231"
"194","jianlian-yi-1","2009","5","175"
"195","jianlian-yi-1","2011","3","76"
"196","jianlian-yi-1","2012","29","1068"
"197","jianlian-yi-1","2013","34","1253"
"198","jianlian-yi-1","2014","37","1334"
"199","jianlian-yi-1","2015","36","1330"
"200","jianlian-yi-1","2016","28","967"
"201","jianlian-yi-1","2016","1","35"
"202","jianlian-yi-1","2017","38","1338"
"203","jianlian-yi-1","2018","5","138"
"204","jianlian-yi-1","2018","38","1069"
"205","jianlian-yi-1","2019","9","293"
"206","dj-strawberry-1","2008","6","152"
"207","dj-strawberry-1","2008","19","525"
"208","dj-strawberry-1","2010","5","86"
"209","dj-strawberry-1","2011","5","159"
"210","dj-strawberry-1","2012","6","171"
"211","dj-strawberry-1","2013","10","272"
"212","dj-strawberry-1","2013","16","522"
"213","dj-strawberry-1","2014","20","554"
"214","dj-strawberry-1","2015","23","470"
"215","dj-strawberry-1","2015","26","565"
"216","dj-strawberry-1","2018","29","631"
"217","dj-strawberry-1","2018","34","794"
"218","dj-strawberry-1","2019","5","123"
"219","guillermo-diaz-1","2006","5","120"
"220","guillermo-diaz-1","2008","25","833"
"221","guillermo-diaz-1","2009","3","82"
"222","guillermo-diaz-1","2009","5","42"
"223","guillermo-diaz-1","2010","24","680"
"224","dj-white-1","2012","32","1070"
"225","dj-white-1","2013","26","823"
"226","dj-white-1","2014","27","731"
"227","dj-white-1","2014","2","16"
"228","dj-white-1","2014","2","33"
"229","dj-white-1","2015","12","384"
"230","dj-white-1","2016","26","822"
"231","dj-white-1","2019","6","166"
"232","patty-mills-1","2009","6","160"
"233","patty-mills-1","2011","9","301"
"234","patty-mills-1","2011","12","414"
"235","patty-mills-1","2018","8","271"
"236","vitor-faverani-1","2006","2","9"
"237","vitor-faverani-1","2008","7","55"
"238","vitor-faverani-1","2008","2","13"
"239","vitor-faverani-1","2009","27","410"
"240","vitor-faverani-1","2011","9","151"
"241","vitor-faverani-1","2011","28","432"
"242","vitor-faverani-1","2012","20","335"
"243","vitor-faverani-1","2012","9","124"
"244","vitor-faverani-1","2015","2","14"
"245","vitor-faverani-1","2015","18","393"
"246","vitor-faverani-1","2016","9","139"
"247","vitor-faverani-1","2016","6","101"
"248","vitor-faverani-1","2016","10","211"
"249","vitor-faverani-1","2016","15","310"
"250","vitor-faverani-1","2017","4","15"
"251","nicolas-laprovittola-1","2013","4","77"
"252","nicolas-laprovittola-1","2015","20","580"
"253","nicolas-laprovittola-1","2015","10","274"
"254","nicolas-laprovittola-1","2016","14","129"
"255","nicolas-laprovittola-1","2016","15","220"
"256","nicolas-laprovittola-1","2017","17","533"
"257","nicolas-laprovittola-1","2017","7","120"
"258","nicolas-laprovittola-1","2018","8","179"
"259","nicolas-laprovittola-1","2018","34","1041"
"260","nicolas-laprovittola-1","2019","10","157"
"261","nicolas-laprovittola-1","2019","7","58"
