field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36,br_url,col_games,col_minutes,intl_games,intl_minutes,intl_group,game_score,field1,Game_id,Season,Arena_id,Home_Team_id,Visitor_Team_id,Date_EST,Time_EST,Time_Local,Game_Number,Attendance,Playoff_Indicator
17,20300001,2422,1610612755,John,Salmons,28,4,6,0.667,1,2,0.5,1,3,0.333,1,4,4,1,2,2,0,10,H,W,2003,1610612748,0,0,0,0,4,3,0,0,28,0,11,0,2,0,5,12.85714286,6.428571429,5.142857143,2.571428571,0,john-salmons-1,124,3819,,,,10.9,0,20300001,22003,130,1610612755,1610612748,2003-10-28,1900-01-01 19:00:00,1900-01-01 19:00:00,1,18295.0,0
34,20300002,1938,1610612759,Manu,Ginobili,33,1,7,0.143,0,3,0,5,7,0.714,1,4,3,4,0,2,1,7,H,W,2003,1610612756,0,0,0,0,2,0,0,0,33,0,2,1,0,2,5,7.636363636,5.454545455,3.272727273,0,1.090909091,manu-ginobili-1,,,144,4341,4,2.8,1,20300002,22003,199,1610612759,1610612756,2003-10-28,1900-01-01 20:00:00,1900-01-01 19:00:00,2,18797.0,0
38,20300002,2405,1610612756,Amar'e,Stoudemire,22,4,10,0.4,0,0,0,2,2,1.0,2,5,0,6,0,2,0,10,A,L,2003,1610612759,0,0,0,0,8,2,0,0,22,0,12,1,6,4,7,16.36363636,11.45454545,0,0,1.636363636,amar'e-stoudemire-1,,,,,,3.1,1,20300002,22003,199,1610612759,1610612756,2003-10-28,1900-01-01 20:00:00,1900-01-01 19:00:00,2,18797.0,0
39,20300002,2418,1610612756,Casey,Jacobsen,7,0,0,0,0,0,0,4,4,1.0,0,0,0,1,0,1,0,4,A,L,2003,1610612759,0,0,0,0,0,0,0,0,7,0,-4,0,0,0,0,20.57142857,0.0,0,0,0,casey-jacobsen-1,95,3021,,,,2.6,1,20300002,22003,199,1610612759,1610612756,2003-10-28,1900-01-01 20:00:00,1900-01-01 19:00:00,2,18797.0,0
40,20300002,2456,1610612756,Cezary,Trybanski,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,0,A,L,2003,1610612759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,cezary-trybanski-1,,,,,,-1.4,1,20300002,22003,199,1610612759,1610612756,2003-10-28,1900-01-01 20:00:00,1900-01-01 19:00:00,2,18797.0,0
59,20300003,2416,1610612747,Kareem,Rush,14,1,5,0.2,0,1,0,0,0,0.0,0,1,1,4,0,1,0,2,H,W,2003,1610612742,0,0,0,0,2,0,0,0,14,0,-6,0,0,0,1,5.142857143,2.571428571,2.571428571,0,0,kareem-rush-1,84,2536,,,,-2.7,2,20300003,22003,137,1610612747,1610612742,2003-10-28,1900-01-01 22:30:00,1900-01-01 19:30:00,3,18997.0,0
60,20300003,2457,1610612747,Jannero,Pargo,9,2,3,0.667,1,1,1,0,0,0.0,0,2,0,0,0,2,0,5,H,W,2003,1610612742,0,0,0,0,0,0,0,0,9,0,-8,0,0,0,2,20.0,8.0,0,0,0,jannero-pargo-1,60,1530,,,,2.3,2,20300003,22003,137,1610612747,1610612742,2003-10-28,1900-01-01 22:30:00,1900-01-01 19:30:00,3,18997.0,0
81,20300004,2412,1610612738,Jiri,Welsch,3,0,1,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,0,H,W,2003,1610612748,0,0,0,0,0,0,0,0,3,0,-5,0,0,0,0,0.0,0.0,0,0,0,jiri-welsch-1,,,35,876,2,-2.1,3,20300004,22003,17,1610612738,1610612748,2003-10-29,1900-01-01 19:00:00,1900-01-01 19:00:00,4,18624.0,0
99,20300005,1921,1610612753,Gordan,Giricek,26,3,9,0.333,0,3,0,1,5,0.2,0,6,3,3,1,0,0,7,A,W,2003,1610612752,0,0,0,0,6,3,0,0,26,27,9,0,0,2,6,9.692307692,8.307692308,4.153846154,1.384615385,0,gordan-giricek-1,,,,,,4,4,20300005,22003,30,1610612752,1610612753,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,5,19763.0,0
102,20300005,2400,1610612753,Drew,Gooden,45,6,11,0.545,0,0,0,4,6,0.667,4,5,0,0,2,2,0,16,A,W,2003,1610612752,0,0,0,0,4,0,0,0,45,15,-5,1,4,5,9,12.8,7.2,0,1.6,0.8,drew-gooden-1,98,2567,,,,14.2,4,20300005,22003,30,1610612752,1610612753,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,5,19763.0,0
103,20300005,2421,1610612752,Frank,Williams,9,1,5,0.2,0,1,0,0,0,0.0,0,1,0,0,0,0,0,2,H,L,2003,1610612753,0,0,0,0,2,0,0,0,8,49,0,1,0,0,1,8.0,4.0,0,0,4,frank-williams-1,101,3201,,,,-0.8,4,20300005,22003,30,1610612752,1610612753,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,5,19763.0,0
161,20300008,2246,1610612765,Mehmet,Okur,32,7,10,0.7,0,1,0,3,5,0.6,2,4,1,1,0,1,4,17,H,L,2003,1610612754,0,0,0,0,10,4,0,0,32,0,3,0,4,2,6,19.125,6.75,1.125,0,0,mehmet-okur-1,,,,,,16.7,7,20300008,22003,44,1610612765,1610612754,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,8,22076.0,0
162,20300008,2410,1610612754,Fred,Jones,5,0,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,A,W,2003,1610612765,0,0,0,0,0,0,0,0,5,0,-4,0,0,0,0,0.0,0.0,0,0,0,fred-jones-1,125,3525,,,,-0.7,7,20300008,22003,44,1610612765,1610612754,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,8,22076.0,0
163,20300008,2419,1610612765,Tayshaun,Prince,37,6,9,0.667,1,1,1,3,4,0.75,1,4,0,1,0,3,0,16,H,L,2003,1610612754,0,0,0,0,4,3,0,0,37,0,-5,1,2,4,5,15.56756757,4.864864865,0,0,0.972972973,tayshaun-prince-1,135,4023,,,,10.2,7,20300008,22003,44,1610612765,1610612754,2003-10-29,1900-01-01 20:00:00,1900-01-01 20:00:00,8,22076.0,0
180,20300009,2429,1610612749,Dan,Gadzuric,4,0,2,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0,0,A,L,2003,1610612750,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0.0,0.0,0,0,9,dan-gadzuric-1,122,2940,,,,-2.2,8,20300009,22003,61,1610612750,1610612749,2003-10-29,1900-01-01 20:00:00,1900-01-01 19:00:00,9,17784.0,0
197,20300010,2407,1610612764,Jared,Jeffries,12,0,2,0,0,0,0,1,4,0.25,2,1,1,0,2,1,0,1,A,W,2003,1610612741,0,0,0,0,0,0,0,0,12,0,7,0,1,0,3,3.0,9.0,3,6,0,jared-jeffries-1,70,2282,,,,1.8,9,20300010,22003,66,1610612741,1610612764,2003-10-29,1900-01-01 20:30:00,1900-01-01 19:30:00,10,18127.0,0
198,20300010,2413,1610612764,Juan,Dixon,18,3,8,0.375,1,2,0.5,4,4,1.0,1,2,2,1,3,4,0,11,A,W,2003,1610612741,0,0,0,0,2,0,0,0,18,0,14,1,4,2,3,22.0,6.0,4,6,2,juan-dixon-1,141,4004,,,,7.9,9,20300010,22003,66,1610612741,1610612764,2003-10-29,1900-01-01 20:30:00,1900-01-01 19:30:00,10,18127.0,0
199,20300010,2427,1610612741,Roger,Mason,10,0,4,0,0,2,0,0,0,0.0,0,0,1,2,0,0,0,0,H,L,2003,1610612764,0,0,0,0,0,0,0,0,10,0,-5,0,0,0,0,0.0,0.0,3.6,0,0,roger-mason-1,89,2634,,,,-2.9,9,20300010,22003,66,1610612741,1610612764,2003-10-29,1900-01-01 20:30:00,1900-01-01 19:30:00,10,18127.0,0
200,20300010,2437,1610612741,Lonny,Baxter,19,1,1,1,0,0,0,4,6,0.667,2,5,1,6,0,2,2,6,H,L,2003,1610612764,0,0,0,0,2,0,0,0,19,0,1,0,2,2,7,11.36842105,13.26315789,1.894736842,0,0,lonny-baxter-1,138,3367,,,,5.5,9,20300010,22003,66,1610612741,1610612764,2003-10-29,1900-01-01 20:30:00,1900-01-01 19:30:00,10,18127.0,0
218,20300011,1938,1610612759,Manu,Ginobili,37,4,12,0.333,2,4,0.5,4,4,1.0,3,3,6,5,2,3,1,14,A,L,2003,1610612743,0,0,0,0,2,8,0,0,37,0,-6,0,0,2,6,13.62162162,5.837837838,5.837837838,1.945945946,0,manu-ginobili-1,,,144,4341,4,12.1,10,20300011,22003,139,1610612743,1610612759,2003-10-29,1900-01-01 21:00:00,1900-01-01 19:00:00,11,17429.0,0
221,20300011,2401,1610612743,Nikoloz,Tskitishvili,10,3,8,0.375,0,0,0,0,0,0.0,1,1,2,2,0,1,1,6,H,W,2003,1610612759,0,0,0,0,0,0,0,0,10,0,4,0,0,0,2,21.6,7.2,7.2,0,0,nikoloz-tskitishvili-1,,,17,176,1,2.9,10,20300011,22003,139,1610612743,1610612759,2003-10-29,1900-01-01 21:00:00,1900-01-01 19:00:00,11,17429.0,0
222,20300011,2403,1610612743,Nene,Hilario,33,3,10,0.3,0,0,0,6,7,0.857,5,6,2,5,2,4,1,12,H,W,2003,1610612759,0,0,0,0,6,0,0,1,33,0,11,3,0,10,11,13.09090909,12.0,2.181818182,2.181818182,3.272727273,nene-hilario-1,,,,,,9.2,10,20300011,22003,139,1610612743,1610612759,2003-10-29,1900-01-01 21:00:00,1900-01-01 19:00:00,11,17429.0,0
259,20300013,2399,1610612744,Mike,Dunleavy,38,6,18,0.333,2,10,0.2,0,1,0.0,0,2,4,6,0,2,0,14,H,L,2003,1610612742,0,0,0,0,4,0,0,0,37,44,-16,1,3,0,2,13.26315789,1.894736842,3.789473684,0,0.947368421,mike-dunleavy-1,111,3762,,,,2.4,12,20300013,22003,71,1610612744,1610612742,2003-10-29,1900-01-01 22:30:00,1900-01-01 19:30:00,13,15816.0,0
276,20300014,2430,1610612739,Carlos,Boozer,39,7,15,0.467,0,0,0,0,0,0.0,2,9,3,3,0,2,4,14,A,L,2003,1610612758,0,0,0,0,10,2,0,1,39,0,-8,1,2,4,11,12.92307692,10.15384615,2.769230769,0,0.923076923,carlos-boozer-1,101,2615,,,,12.1,13,20300014,22003,3,1610612758,1610612739,2003-10-29,1900-01-01 22:30:00,1900-01-01 19:30:00,14,17317.0,0
290,20300015,2060,1610612746,Marko,Jaric,11,0,4,0,0,1,0,0,0,0.0,1,0,1,1,0,1,0,0,A,L,2003,1610612760,0,0,0,0,0,0,0,0,11,0,-2,1,0,0,1,0.0,3.272727273,3.272727273,0,3.272727273,marko-jaric-1,,,160,4395,4,-2.8,14,20300015,22003,216,1610612760,1610612746,2003-10-30,1900-01-01 05:30:00,1900-01-01 02:30:00,15,19323.0,0
294,20300015,2404,1610612746,Chris,Wilcox,14,2,3,0.667,0,0,0,0,0,0.0,0,2,1,1,0,1,0,4,A,L,2003,1610612760,0,0,0,0,4,2,0,0,14,0,1,0,0,0,2,10.28571429,5.142857143,2.571428571,0,0,chris-wilcox-1,70,1162,,,,2.6,14,20300015,22003,216,1610612760,1610612746,2003-10-30,1900-01-01 05:30:00,1900-01-01 02:30:00,15,19323.0,0
295,20300015,2436,1610612760,Ronald,Murray,34,10,17,0.588,2,6,0.333,2,4,0.5,2,2,1,3,1,1,1,24,H,W,2003,1610612746,0,0,0,0,12,4,0,0,34,0,4,1,4,3,4,25.41176471,4.235294118,1.058823529,1.058823529,1.058823529,ronald-murray-1,,,,,,17.5,14,20300015,22003,216,1610612760,1610612746,2003-10-30,1900-01-01 05:30:00,1900-01-01 02:30:00,15,19323.0,0
313,20300016,1921,1610612753,Gordan,Giricek,14,1,4,0.25,0,0,0,2,2,1.0,0,1,0,1,0,0,0,4,H,L,2003,1610612740,0,0,0,0,2,0,0,0,13,52,-3,0,0,0,1,10.28571429,2.571428571,0,0,0,gordan-giricek-1,,,,,,1.5,15,20300016,22003,155,1610612753,1610612740,2003-10-30,1900-01-01 19:00:00,1900-01-01 19:00:00,16,15911.0,0
316,20300016,2400,1610612753,Drew,Gooden,42,5,10,0.5,0,0,0,6,8,0.75,6,5,1,2,1,1,1,16,H,L,2003,1610612740,0,0,0,0,10,0,0,1,41,54,4,1,0,8,11,13.71428571,9.428571429,0.857142857,0.857142857,0.857142857,drew-gooden-1,98,2567,,,,16.5,15,20300016,22003,155,1610612753,1610612740,2003-10-30,1900-01-01 19:00:00,1900-01-01 19:00:00,16,15911.0,0
337,20300017,2366,1610612745,Mike,Wilks,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,H,W,2003,1610612743,0,0,0,0,0,0,0,0,1,0,-3,,0,0,0,0.0,0.0,0,0,0,mike-wilks-1,117,3767,,,,0,16,20300017,22003,215,1610612745,1610612743,2003-10-30,1900-01-01 20:00:00,1900-01-01 19:00:00,17,18189.0,0
338,20300017,2397,1610612745,Ming,Yao,20,6,8,0.75,0,0,0,7,8,0.875,0,3,2,5,1,3,3,19,H,W,2003,1610612743,0,0,0,0,10,0,0,0,20,0,15,0,4,2,3,34.2,5.4,3.6,1.8,0,ming-yao-1,,,,,,15.8,16,20300017,22003,215,1610612745,1610612743,2003-10-30,1900-01-01 20:00:00,1900-01-01 19:00:00,17,18189.0,0
339,20300017,2401,1610612743,Nikoloz,Tskitishvili,16,1,6,0.167,0,0,0,2,2,1.0,3,3,0,2,0,1,1,4,A,L,2003,1610612745,0,0,0,0,2,0,0,0,16,0,-3,0,0,2,6,9.0,13.5,0,0,0,nikoloz-tskitishvili-1,,,17,176,1,2.1,16,20300017,22003,215,1610612745,1610612743,2003-10-30,1900-01-01 20:00:00,1900-01-01 19:00:00,17,18189.0,0
340,20300017,2403,1610612743,Nene,Hilario,31,4,5,0.8,0,0,0,5,6,0.833,2,2,1,5,3,2,2,13,A,L,2003,1610612745,0,0,0,0,6,0,0,0,31,0,-12,0,0,3,4,15.09677419,4.64516129,1.161290323,3.483870968,0,nene-hilario-1,,,,,,13.8,16,20300017,22003,215,1610612745,1610612743,2003-10-30,1900-01-01 20:00:00,1900-01-01 19:00:00,17,18189.0,0
341,20300017,2411,1610612745,Bostjan,Nachbar,20,2,2,1,1,1,1,0,0,0.0,0,2,0,5,0,1,0,5,H,W,2003,1610612743,0,0,0,0,0,3,0,0,20,0,-8,0,0,0,2,9.0,3.6,0,0,0,bostjan-nachbar-1,,,98,1833,3,2,16,20300017,22003,215,1610612745,1610612743,2003-10-30,1900-01-01 20:00:00,1900-01-01 19:00:00,17,18189.0,0
356,20300018,2405,1610612756,Amar'e,Stoudemire,39,7,17,0.412,0,0,0,11,14,0.786,2,6,0,3,1,2,4,25,H,W,2003,1610612739,0,1,0,0,12,0,0,0,39,0,8,2,5,4,8,23.07692308,7.384615385,0,0.923076923,1.846153846,amar'e-stoudemire-1,,,,,,18.5,17,20300018,22003,2,1610612756,1610612739,2003-10-30,1900-01-01 22:30:00,1900-01-01 20:30:00,18,18422.0,0
357,20300018,2430,1610612739,Carlos,Boozer,34,5,9,0.556,0,0,0,1,1,1.0,1,13,2,4,1,1,0,11,A,L,2003,1610612756,0,0,0,0,10,0,0,1,34,0,-1,3,3,2,14,11.64705882,14.82352941,2.117647059,1.058823529,3.176470588,carlos-boozer-1,101,2615,,,,11.1,17,20300018,22003,2,1610612756,1610612739,2003-10-30,1900-01-01 22:30:00,1900-01-01 20:30:00,18,18422.0,0
376,20300019,2407,1610612764,Jared,Jeffries,8,0,2,0,0,0,0,0,0,0.0,0,1,0,2,1,2,0,0,A,L,2003,1610612761,0,0,0,0,0,0,0,0,8,0,-7,0,0,0,1,0.0,4.5,0,4.5,0,jared-jeffries-1,70,2282,,,,-2.9,18,20300019,22003,116,1610612761,1610612764,2003-10-31,1900-01-01 19:00:00,1900-01-01 19:00:00,19,14183.0,0
377,20300019,2413,1610612764,Juan,Dixon,16,1,5,0.2,0,1,0,0,0,0.0,0,1,2,0,1,0,0,2,A,L,2003,1610612761,0,0,0,0,0,2,0,0,16,0,-4,2,0,0,1,4.5,2.25,4.5,2.25,4.5,juan-dixon-1,141,4004,,,,1.6,18,20300019,22003,116,1610612761,1610612764,2003-10-31,1900-01-01 19:00:00,1900-01-01 19:00:00,19,14183.0,0
397,20300020,2246,1610612765,Mehmet,Okur,21,1,5,0.2,0,0,0,1,4,0.25,2,2,1,4,0,3,2,3,A,W,2003,1610612748,0,0,0,0,2,0,0,0,21,5,-11,0,0,0,,5.142857143,0.0,1.714285714,0,0,mehmet-okur-1,,,,,,-1.8,19,20300020,22003,146,1610612748,1610612765,2003-10-31,1900-01-01 19:30:00,1900-01-01 19:30:00,20,15825.0,0
399,20300020,2419,1610612765,Tayshaun,Prince,36,3,12,0.25,2,5,0.4,0,0,0.0,2,3,5,0,0,0,1,8,A,W,2003,1610612748,0,0,0,0,2,0,0,0,36,4,15,0,6,2,,8.0,0.0,5,0,0,tayshaun-prince-1,135,4023,,,,7.3,19,20300020,22003,146,1610612748,1610612765,2003-10-31,1900-01-01 19:30:00,1900-01-01 19:30:00,20,15825.0,0
421,20300021,2410,1610612754,Fred,Jones,11,0,2,0,0,1,0,0,0,0.0,0,0,1,3,0,0,0,0,H,L,2003,1610612749,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0.0,0.0,3.272727273,0,0,fred-jones-1,125,3525,,,,-1.9,20,20300021,22003,136,1610612754,1610612749,2003-10-31,1900-01-01 19:30:00,1900-01-01 19:30:00,21,17607.0,0
494,20300025,2060,1610612746,Marko,Jaric,22,3,8,0.375,2,5,0.4,0,0,0.0,0,1,5,1,0,1,1,8,H,L,2003,1610612760,0,0,0,0,0,0,0,0,22,0,-15,0,0,0,1,13.09090909,1.636363636,8.181818182,0,0,marko-jaric-1,,,160,4395,4,6.7,24,20300025,22003,216,1610612746,1610612760,2003-10-31,1900-01-01 22:00:00,1900-01-01 19:00:00,25,19664.0,0
498,20300025,2404,1610612746,Chris,Wilcox,21,5,8,0.625,0,0,0,3,3,1.0,4,0,2,5,0,0,0,13,H,L,2003,1610612760,0,0,0,0,8,0,0,0,21,0,-7,0,0,5,4,22.28571429,6.857142857,3.428571429,0,0,chris-wilcox-1,70,1162,,,,11.6,24,20300025,22003,216,1610612746,1610612760,2003-10-31,1900-01-01 22:00:00,1900-01-01 19:00:00,25,19664.0,0
499,20300025,2408,1610612746,Melvin,Ely,3,1,1,1,0,0,0,0,0,0.0,0,0,1,1,0,0,0,2,H,L,2003,1610612760,0,0,0,0,2,0,0,0,3,0,2,0,2,0,0,24.0,0.0,12,0,0,melvin-ely-1,124,4030,,,,2,24,20300025,22003,216,1610612746,1610612760,2003-10-31,1900-01-01 22:00:00,1900-01-01 19:00:00,25,19664.0,0
500,20300025,2436,1610612760,Ronald,Murray,39,8,19,0.421,2,6,0.333,4,4,1.0,2,3,7,1,2,1,0,22,A,W,2003,1610612746,0,0,0,0,8,0,0,0,39,0,11,2,6,2,5,20.30769231,4.615384615,6.461538462,1.846153846,1.846153846,ronald-murray-1,,,,,,19.7,24,20300025,22003,216,1610612746,1610612760,2003-10-31,1900-01-01 22:00:00,1900-01-01 19:00:00,25,19664.0,0
520,20300026,2422,1610612755,John,Salmons,20,2,8,0.25,0,1,0,2,2,1.0,3,0,2,1,2,0,0,6,A,L,2003,1610612758,0,0,0,0,0,0,0,0,20,0,-1,1,2,2,3,10.8,5.4,3.6,3.6,1.8,john-salmons-1,124,3819,,,,6.3,25,20300026,22003,3,1610612758,1610612755,2003-10-31,1900-01-01 22:30:00,1900-01-01 19:30:00,26,17317.0,0
541,20300027,2407,1610612764,Jared,Jeffries,18,3,9,0.333,0,0,0,3,4,0.75,3,4,1,1,1,1,0,9,H,L,2003,1610612751,0,0,0,0,0,0,0,0,18,0,12,2,2,2,7,18.0,14.0,2,2,4,jared-jeffries-1,70,2282,,,,7.1,26,20300027,22003,77,1610612764,1610612751,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,27,20173.0,0
542,20300027,2413,1610612764,Juan,Dixon,17,4,11,0.364,1,3,0.333,0,0,0.0,2,3,1,1,0,1,0,9,H,L,2003,1610612751,0,0,0,0,2,2,0,0,17,0,5,0,2,0,5,19.05882353,10.58823529,2.117647059,0,0,juan-dixon-1,141,4004,,,,4.5,26,20300027,22003,77,1610612764,1610612751,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,27,20173.0,0
561,20300028,2246,1610612765,Mehmet,Okur,14,1,5,0.2,0,0,0,2,2,1.0,4,4,0,1,0,1,0,4,A,W,2003,1610612753,0,0,0,0,2,2,0,0,14,0,5,0,0,0,8,10.28571429,20.57142857,0,0,0,mehmet-okur-1,,,,,,3.5,27,20300028,22003,155,1610612753,1610612765,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,28,14588.0,0
562,20300028,2400,1610612753,Drew,Gooden,41,4,12,0.333,0,0,0,2,2,1.0,3,7,1,3,2,2,0,10,H,L,2003,1610612765,0,0,0,0,4,0,0,1,41,0,-12,2,0,4,10,8.780487805,8.780487805,0.87804878,1.756097561,1.756097561,drew-gooden-1,98,2567,,,,6.9,27,20300028,22003,155,1610612753,1610612765,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,28,14588.0,0
563,20300028,2419,1610612765,Tayshaun,Prince,37,3,8,0.375,1,1,1,1,2,0.5,3,2,2,2,2,2,0,8,A,W,2003,1610612753,0,0,0,0,4,2,0,0,37,0,-3,0,1,2,5,7.783783784,4.864864865,1.945945946,1.945945946,0,tayshaun-prince-1,135,4023,,,,6.5,27,20300028,22003,155,1610612753,1610612765,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,28,14588.0,0
582,20300029,2410,1610612754,Fred,Jones,37,7,11,0.636,1,3,0.333,0,0,0.0,1,3,1,4,2,4,0,15,A,W,2003,1610612737,0,0,0,0,8,2,0,0,37,0,2,0,2,0,4,14.59459459,3.891891892,0.972972973,1.945945946,0,fred-jones-1,125,3525,,,,8.8,28,20300029,22003,135,1610612737,1610612754,2003-11-01,1900-01-01 19:00:00,1900-01-01 19:00:00,29,18818.0,0
602,20300030,2412,1610612738,Jiri,Welsch,10,1,4,0.25,0,2,0,4,4,1.0,0,0,1,1,0,0,0,6,A,L,2003,1610612740,0,0,0,0,2,0,0,0,10,0,0,0,2,2,0,21.6,0.0,3.6,0,0,jiri-welsch-1,,,35,876,2,3.9,29,20300030,22003,160,1610612740,1610612738,2003-11-01,1900-01-01 20:00:00,1900-01-01 19:00:00,30,13392.0,0
625,20300031,2423,1610612761,Chris,Jefferies,2,1,2,0.5,1,2,0.5,0,0,0.0,0,0,1,0,0,0,0,3,A,L,2003,1610612750,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,54.0,0.0,18,0,0,chris-jefferies-1,88,2464,,,,2.7,30,20300031,22003,61,1610612750,1610612761,2003-11-01,1900-01-01 20:00:00,1900-01-01 19:00:00,31,15869.0,0
647,20300032,2409,1610612749,Marcus,Haislip,6,1,1,1,0,0,0,0,0,0.0,1,2,0,0,0,0,0,2,H,W,2003,1610612741,0,0,0,0,2,0,0,0,6,0,7,0,2,2,3,12.0,18.0,0,0,0,marcus-haislip-1,89,1521,,,,3,31,20300032,22003,5,1610612749,1610612741,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,32,18717.0,0
648,20300032,2427,1610612741,Roger,Mason,10,0,2,0,0,1,0,0,0,0.0,0,1,0,1,0,2,0,0,A,L,2003,1610612749,0,0,0,0,0,0,0,0,10,0,-9,0,0,0,1,0.0,3.6,0,0,0,roger-mason-1,89,2634,,,,-3.5,31,20300032,22003,5,1610612749,1610612741,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,32,18717.0,0
649,20300032,2429,1610612749,Dan,Gadzuric,17,3,8,0.375,0,0,0,0,3,0.0,3,5,1,5,1,0,0,6,H,W,2003,1610612741,0,0,0,0,6,2,0,0,17,0,17,2,2,2,8,12.70588235,16.94117647,2.117647059,2.117647059,4.235294118,dan-gadzuric-1,122,2940,,,,3.7,31,20300032,22003,5,1610612749,1610612741,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,32,18717.0,0
650,20300032,2437,1610612741,Lonny,Baxter,15,1,4,0.25,0,0,0,1,2,0.5,4,4,0,1,0,3,0,3,A,L,2003,1610612749,0,0,0,0,2,0,0,0,15,0,-15,0,0,0,8,7.2,19.2,0,0,0,lonny-baxter-1,138,3367,,,,0.8,31,20300032,22003,5,1610612749,1610612741,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,32,18717.0,0
689,20300034,2397,1610612745,Ming,Yao,37,7,11,0.636,0,1,0,5,9,0.556,1,9,0,2,0,2,3,19,H,L,2003,1610612763,0,0,0,0,12,1,0,1,37,0,-10,0,3,2,10,18.48648649,9.72972973,0,0,0,ming-yao-1,,,,,,15.2,33,20300034,22003,215,1610612745,1610612763,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,34,13051.0,0
690,20300034,2411,1610612745,Bostjan,Nachbar,6,0,5,0,0,3,0,0,0,0.0,0,1,0,0,0,0,0,0,H,L,2003,1610612763,0,0,0,0,0,0,0,0,6,0,-2,0,0,0,1,0.0,6.0,0,0,0,bostjan-nachbar-1,,,98,1833,3,-3.2,33,20300034,22003,215,1610612745,1610612763,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,34,13051.0,0
708,20300035,1938,1610612759,Manu,Ginobili,33,3,11,0.273,0,4,0,4,4,1.0,0,5,5,2,4,1,0,10,H,W,2003,1610612752,0,0,0,0,6,6,0,0,33,0,9,0,8,0,5,10.90909091,5.454545455,5.454545455,4.363636364,0,manu-ginobili-1,,,144,4341,4,10.7,34,20300035,22003,199,1610612759,1610612752,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,35,18797.0,0
711,20300035,2421,1610612752,Frank,Williams,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,A,L,2003,1610612759,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0.0,36.0,0,0,0,frank-williams-1,101,3201,,,,0.3,34,20300035,22003,199,1610612759,1610612752,2003-11-01,1900-01-01 20:30:00,1900-01-01 19:30:00,35,18797.0,0
733,20300036,2401,1610612743,Nikoloz,Tskitishvili,2,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0,0,0,0,H,W,2003,1610612758,0,0,0,0,0,0,0,0,1,56,-4,0,0,0,0,0.0,0.0,0,0,0,nikoloz-tskitishvili-1,,,17,176,1,-1.2,35,20300036,22003,139,1610612743,1610612758,2003-11-01,1900-01-01 21:00:00,1900-01-01 19:00:00,36,18111.0,0
734,20300036,2403,1610612743,Nene,Hilario,17,3,8,0.375,0,0,0,1,1,1.0,0,3,1,4,0,1,0,7,H,W,2003,1610612758,0,0,0,0,4,3,0,0,16,31,7,0,5,0,3,14.82352941,6.352941176,2.117647059,0,0,nene-hilario-1,,,,,,1.6,35,20300036,22003,139,1610612743,1610612758,2003-11-01,1900-01-01 21:00:00,1900-01-01 19:00:00,36,18111.0,0
