year,round,pick,player,position,school
1999,1,4,"Odom, Lamar",PF/SF,Rhode Island
1999,1,5,"Bender, Jonathan",PF,Picayune Memorial HS
1999,1,6,"Szczerbiak, Wally",SG/SF,Miami (OH)
1999,1,7,"Hamilton, Richard",SG/SF,Connecticut
1999,1,8,"Miller, Andre",PG,Utah
1999,1,9,"Marion, Shawn",SF/PF,UNLV
1999,1,10,"Terry, Jason",SG/PG,Arizona
1999,1,11,"Langdon, Trajan",SG,Duke
1999,1,12,"Radojevi?, Aleksandar",C,Barton County CC
1999,1,13,"Maggette, Corey",SF/SG,Duke
1999,1,14,"Avery, William",PG,Duke
1999,1,15,"Weis, Fr¨¦d¨¦ric",C,Limoges
1999,1,16,"Artest, Ron",SF,St. John's
1999,1,17,"Bowdler, Cal",PF,Old Dominion
1999,1,18,"Posey, James",SG/SF,Xavier
1999,1,19,"Lewis, Quincy",SF,Minnesota
1999,1,20,"Glover, Dion",SG,Georgia Tech
1999,1,21,"Foster, Jeff",PF,Southwest Texas State
1999,1,22,"Thomas, Kenny",PF,New Mexico
1999,1,23,"George, Devean",SF,Augsburg
1999,1,24,"Kirilenko, Andrei",SF,CSKA Moscow
1999,1,25,"James, Tim",SF,Miami
1999,1,26,"Cummings, Vonteego",PG,Pittsburgh
1999,1,27,"Jones, Jumaine",SF,Georgia
1999,1,28,"Padgett, Scott",PF,Kentucky
1999,1,29,"Smith, Leon",PF,King College Prep HS
1999,2,30,"Celestand, John",PG,Villanova
1999,2,31,"Hill, Rico",F,Illinois State
1999,2,32,"Ruffin, Michael",PF,Tulsa
1999,2,33,"Herren, Chris",G,Fresno State
1999,2,34,"Eschmeyer, Evan",C,Northwestern
1999,2,35,"Booth, Calvin",C,Penn State
1999,2,36,"Wang Zhizhi,",C,Bayi Rockets
1999,2,37,"Ekezie, Obinna",C,Maryland
1999,2,38,"Profit, Laron",SG/SF,Maryland
1999,2,39,"Bramlett, A. J.",C,Arizona
1999,2,40,"Giri?ek, Gordan",G/F,CSKA Moscow
1999,2,41,"Elson, Francisco",C,California
1999,2,42,"Bullock, Louis",G,Michigan
1999,2,43,"Nailon, Lee",SF,TCU
1999,2,44,"Washington, Tyrone",C,Mississippi State
1999,2,45,"Robertson, Ryan",G,Kansas
1999,2,46,"Koch, J. R.",F,Iowa
1999,2,47,Macculloch,C,Washington
1999,2,48,"Young, Galen",G,Charlotte
1999,2,49,"Ketner, Lari",C,UMass
1999,2,50,"Hamilton, Venson",C,Nebraska
1999,2,51,"Smith, Antwain",F,Saint Paul's
1999,2,52,"Bergersen, Roberto",G,Boise State
1999,2,53,"Buford, Rodney",SG,Creighton
1999,2,54,"Levett, Melvin",SG,Cincinnati
1999,2,55,"Clack, Kris",G,Texas
1999,2,56,"Young, Tim",C,Stanford
1999,2,57,"Gin¨®bili, Manu",SG,Viola Reggio Calabria
1999,2,58,"Lucas, Eddie",G,Virginia Tech
2000,1,1,"Martin, Kenyon",PF,Cincinnato (Sr.)
2000,1,2,"Swift, Stromile",PF/C,LSU
2000,1,3,"Miles, Darius",SF/PF,East St. Louis HS (Illinois)
2000,1,4,"Fizer, Marcus",PF/SF,Iowa State
2000,1,5,"Miller, Mike",SF/SG,Florida
2000,1,6,"Johnson, DerMarr",SG/SF,Cincinnati
2000,1,7,"Mihm, Chris",C/PF,Texas
2000,1,8,"Crawford, Jamal",SG,Michigan
2000,1,9,"Przybilla, Joel",C,Minnesota
2000,1,10,"Dooling, Keyon",SG,Missouri
2000,1,11,Moiso,PF,UCLA
2000,1,12,"Thomas, Etan",PF/C,Syracuse
2000,1,13,"Alexander, Courtney",SG,Fresno State
2000,1,14,"Cleaves, Mateen",PG,Michigan State
2000,1,15,"Collier, Jason",C,Georgia Tech
2000,1,16,Turkoglu,SF/PF,Efes Pilsen
2000,1,17,"Mason, Desmond",SF/SG,Oklahoma State
2000,1,18,"Richardson, Quentin",SF/SG,DePaul
2000,1,19,"Magloire, Jamaal",PF/C,Kentucky
2000,1,20,"Claxton, Speedy",PG,Hofstra
2000,1,21,"Peterson, Morris",SF/SG,Michigan State
2000,1,22,"Harvey, Donnell",SF,Florida
2000,1,23,"Stevenson, DeShawn",SG,Washington Union HS
2000,1,24,"Bagari?, Dalibor",C,Benston Zagreb
2000,1,25,"Tsakalidis, Iakovos ""Jake""",C,AEK
2000,1,26,"N'Diaye, Mamadou",C,Auburn
2000,1,27,"Brezec, Primo?",C,Union Olimpija
2000,1,28,"Barkley, Erick",PG,St. John's
2000,1,29,"Madsen, Mark",PF,Stanford
2000,2,30,"Jari?, Marko",G,Paf Bologna
2000,2,31,"Langhi, Dan",PF,Vanderbilt
2000,2,32,"Guyton, A.J.",PG,Indiana
2000,2,33,"Voskuhl, Jake",C,Connecticut
2000,2,34,"El-Amin, Khalid",PG,Connecticut
2000,2,35,"Smith, Mike",F,Louisiana-Monroe
2000,2,36,"Samake, Soumaila",C,Cincinnati Stuff
2000,2,37,"House, Eddie",SG,Arizona State
2000,2,38,"N¨¢jera, Eduardo",PF,Oklahoma
2000,2,39,"Postell, Lavor",SG,St. John's
2000,2,40,Mottola,SF/PF,Utah
2000,2,41,"Carrawell, Chris",SG,Duke
2000,2,42,"Oyedeji, Olumide",PF,W¨¹rzburg
2000,2,43,"Redd, Michael",SG,Ohio State
2000,2,44,"Cardinal, Brian",PF,Purdue
2000,2,45,"Smith, Jabari",C,LSU
2000,2,46,"Hulett, DeeAndre",G,COS
2000,2,47,"Sesar, Josip",G,Cibona Zagreb
2000,2,48,"Karcher, Mark",PG,Temple
2000,2,49,"Hart, Jason",PG,Syracuse
2000,2,50,"Dickens, Kaniel",F,Idaho
2000,2,51,"Rako?evi?, Igor",G,Red Star Belgrade
2000,2,52,"Brown, Ernest",C,Indian Hills CC
2000,2,53,"McClintock, Dan",C,Northern Arizona
2000,2,54,"Hightower, Cory",G,Indian Hills CC
2000,2,55,"Porter, Chris",F,Auburn
2000,2,56,"Walls, Jaquay",G,Colorado
2000,2,57,"Penn, Scoonie",G,Ohio State
2000,2,58,"Mickeal, Pete",F,Cincinnati
2001,1,1,"Brown, Kwame",C,Glynn Academy
2001,1,2,"Chandler, Tyson",C,Dominguez HS
2001,1,3,"Gasol, Pau",PF/C,FC Barcelona
2001,1,4,"Curry, Eddy",C,Thornwood HS
2001,1,5,"Richardson, Jason",SG,Michigan State
2001,1,6,"Battier, Shane",SF,Duke
2001,1,7,"Griffin, Eddie",PF,Seton Hall
2001,1,8,"Diop, DeSagana",C,Oak Hill Academy
2001,1,9,"White, Rodney",SF/PF,Charlotte
2001,1,10,"Johnson, Joe",SG,Arkansas
2001,1,11,"Brown, Kedrick",SF,Okaloosa-Walton CC
2001,1,12,"Radmanovi?, Vladimir",PF,Red Star Belgrade
2001,1,13,"Jefferson, Richard",SF,Arizona
