year	round	pick	player	position	school
1982	2	29	"Hastings, Scott"	F/C	Arkansas
1982	2	30	"Bryant, Wallace"	C	San Francisco
1982	2	31	"Higgins, Rod"	F/C	Fresno State
1982	2	32	"Anderson, Richard"	PF	UC Santa Barbara
1982	2	33	"Townes, Linton"	SF	James Madison
1982	2	34	"Taylor, Vince"	SF	Duke
1982	2	35	"Smith, Derek"	SG	Louisville
1982	2	36	"Anderson, J. J."	SF	Bradley
1982	2	37	"Norris, Audie"	C	Jackson State
1982	2	38	Wayne Sappleton	F	Loyola (IL)
1982	2	39	"Magee, Kevin"	PF	UC Irvine
1982	2	40	"Morgan, Guy"	G	Wake Forest
1982	2	41	"Anderson, Dwight"	G	USC
1982	2	42	"Taylor, Jeff"	SG	Texas Tech
1982	2	43	"Slaughter, Jose"	SG	Portland
1982	2	44	"Gibson, Mike"	F	USC Upstate
1982	2	45	"Schoene, Russ"	F/C	Chattanooga
1982	2	46	"Guy, Tony"	G	Kansas
1983	1	1	"Sampson, Ralph"	C	Virginia
1983	1	2	"Stipanovich, Steve"	C	Missouri
1983	1	3	"McCray, Rodney"	SF	Louisville
1983	1	4	"Scott, Byron"	SG	Arizona State
1983	1	5	"Green, Sidney"	PF	UNLV
1983	1	6	"Cross, Russell"	C	Purdue
1983	1	7	"Bailey, Thurl"	PF	NC State
1983	1	8	"Carr, Antoine"	PF	Wichita State
1983	1	9	"Ellis, Dale"	SG	Tennessee
1983	1	10	"Malone, Jeff"	SG	Mississippi State
1983	1	11	"Harper, Derek"	PG/SG	Illinois
1983	1	12	"Walker, Darrell"	SG	Arkansas
1983	1	13	"Whatley, Ennis"	PG	Alabama
1983	1	14	"Drexler, Clyde"	SG	Houston
1983	1	15	"Carter, Howard"	SG	LSU
1983	1	16	"Sundvold, Jon"	PG	Missouri
1983	1	17	"Rautins, Leo"	SF	Syracuse
1983	1	18	"Breuer, Randy"	C	Minnesota
1983	1	19	"Paxson, John"	PG	Notre Dame
1983	1	20	"Hinson, Roy"	C	Rutgers
1983	1	21	"Kite, Greg"	C	BYU
1983	1	22	"Wittman, Randy"	SG	Indiana
1983	1	23	"Wiggins, Mitchell"	SG	Florida State
1983	1	24	"Granger, Stewart"	PG	Villanova
1983	2	25	"Lowe, Sidney"	PG	NC State
1983	2	26	"Combs, Leroy"	SF	Oklahoma State
1983	2	27	"Garris, John"	PF	Boston College
1983	2	28	"Foster, Rod"	PG	UCLA
1983	2	29	"Micheaux, Larry"	PF	Houston
1983	2	30	"West, Mark"	C	Old Dominion
1983	2	31	"Rivers, Doc"	PG	Marquette
1983	2	32	"Britt, Michael"	SF	UDC
1983	2	33	"Minniefield, Dirk"	PG	Kentucky
1983	2	34	"Williams, Guy"	F	Washington State
1983	2	35	"Lockhart, Darrell"	C	Auburn
1983	2	36	"McCray, Scooter"	PF	Louisville
1983	2	37	"Russell, David"	SF	St. John's
1983	2	38	"McNealy, Chris"	PF	San Jose State
1983	2	39	"Waiters, Granville"	C	Ohio State
1983	2	40	"Thomas, Jim"	SG	Indiana
1983	2	41	"Kitchel, Ted"	SF	Indiana
1983	2	42	"Davis, Mike"	SG	Alabama
1983	2	43	"Mannion, Pace"	SF	Utah
1983	2	44	"Owens, Horace"	SG	Rhode Island
1983	2	45	"Williams, Paul"	SF	Arizona State
1983	2	46	"Williams, Kevin"	PG	St. John's
1983	2	47	"Lyons, Kenneth"	PF	North Texas State
1984	1	1	"Olajuwon, Akeem"	C	Houston
1984	1	2	"Bowie, Sam"	C	Kentucky
1984	1	3	"Jordan, Michael"	G/F	North Carolina
1984	1	4	"Perkins, Sam"	F/C	North Carolina
1984	1	5	"Barkley, Charles"	F	Auburn
1984	1	6	"Turpin, Melvin"	C	Kentucky
1984	1	7	"Robertson, Alvin"	G	Arkansas
1984	1	8	"Gordon, Lancaster"	G	Louisville
1984	1	9	"Thorpe, Otis"	F/C	Providence
1984	1	10	"Wood, Leon"	G	Cal State Fullerton
1984	1	11	"Willis, Kevin"	F/C	Michigan State
1984	1	12	"McCormick, Tim"	C	Michigan
1984	1	13	"Humphries, Jay"	G	Colorado
1984	1	14	"Cage, Michael"	F/C	San Diego State
1984	1	15	"Stansbury, Terence"	G	Temple
1984	1	16	"Stockton, John"	G	Gonzaga
1984	1	17	"Turner, Jeff"	F/C	Vanderbilt
1984	1	18	"Fleming, Vern"	G	Georgia
1984	1	19	"Thompson, Bernard"	G/F	Fresno State
1984	1	20	"Campbell, Tony"	G/F	Ohio State
1984	1	21	"Fields, Kenny"	G/F	UCLA
1984	1	22	"Sewell, Tom"	G	Lamar
1984	1	23	"Jones, Earl"	C	UDC
1984	1	24	"Young, Michael"	G/F	Houston
1984	2	25	"Durrant, Devin"	F	Brigham Young
1984	2	26	"Fleming, Victor"	G	Xavier
1984	2	27	"Anderson, Ron"	G/F	Fresno State
1984	2	28	"Blackwell, Cory"	F	Wisconsin
1984	2	29	"Gray, Stuart"	F/C	UCLA
1984	2	30	"Burtt, Steve"	G	Iona
1984	2	31	"Murphy, Jay"	F	Boston College
1984	2	32	"Turner, Eric"	G	Michigan
1984	2	33	"Colter, Steve"	G	New Mexico State
1984	2	34	"Costner, Tony"	C	Saint Joseph's
1984	2	35	"Wilson, Othell"	G	Virginia
1984	2	36	"Jones, Charles"	F	Louisville
1984	2	37	"Coleman, Ben"	F	Maryland
1984	2	38	"Sitton, Charlie"	F	Oregon State
1984	2	39	"Young, Danny"	G	Wake Forest
1984	2	40	"Teachey, Anthony"	F	Wake Forest
1984	2	41	"Sluby, Tom"	G	Notre Dame
1984	2	42	"White, Willie"	G	Chattanooga
1984	2	43	"Wiltjer, Greg"	C	Victoria (Canada)
1984	2	44	"Reynolds, Fred"	F	UTEP
1984	2	45	"Plummer, Gary"	F/C	Boston University
1984	2	46	"Kersey, Jerome"	F	Longwood
1984	2	47	"Williams, Ronnie"	F	Florida
1985	1	1	"Ewing, Patrick"	C	Georgetown
