"","nameurl","games","minutes"
"813","dwight-powell-1","136","3563"
"814","julius-randle-1","40","1232"
"815","glenn-robinson-1","62","2176"
"816",NA,NA,NA
"817","jakarr-sampson-1","66","1999"
"818","marcus-smart-1","64","2118"
"819","russ-smith-1","133","3231"
"820","nik-stauskas-1","75","2467"
"821","david-stockton-1","138","2746"
"822","jarnell-stokes-1","87","2583"
"823","noah-vonleh-1","30","795"
"824","david-wear-1","130","2834"
"825","travis-wear-1","128","2841"
"826","shayne-whittington-1","114","2576"
"827","andrew-wiggins-1","35","1148"
"828","james-young-1","40","1296"
"829","cliff-alexander-1","28","492"
"830","justin-anderson-1","98","2361"
"831",NA,NA,NA
"832","keith-appling-1","142","4231"
"833",NA,NA,NA
"834","devin-booker-1","128","3084"
"835","anthony-brown-1","47","615"
"836","willie-cauley-stein-1","105","2572"
"837","rakeem-christmas-1","142","3124"
"838","coty-clarke-1","65","1384"
"839","pat-connaughton-1","139","4489"
"840","branden-dawson-1","130","3458"
"841",NA,NA,NA
"842","sam-dekker-1","113","3152"
"843","duje-dukan-1","97","970"
"844","jarell-eddie-1","123","3173"
"845","jerian-grant-1","119","4331"
"846","montrezl-harrell-1","112","2956"
"847","aaron-harrison-1","79","2306"
"848",NA,NA,NA
"849","darrun-hilliard-1","132","3537"
"850","rondae-hollis-jefferson-1","76","2052"
"851","richaun-holmes-1","95","2517"
"852",NA,NA,NA
"853","josh-huestis-1","135","3375"
"854",NA,NA,NA
"855","stanley-johnson-1","38","1079"
"856",NA,NA,NA
"857","tyus-jones-1","39","1322"
"858","frank-kaminsky-1","144","2937"
"859","sasha-kaun-1","135","2227"
"860","kevon-looney-1","36","1112"
"861","trey-lyles-1","36","828"
"862",NA,NA,NA
"863","jarell-martin-1","65","1995"
"864",NA,NA,NA
"865","chris-mccullough-1","16","449"
"866","jordan-mcrae-1","114","3089"
"867",NA,NA,NA
"868","jordan-mickey-1","65","2197"
"869",NA,NA,NA
"870",NA,NA,NA
"871","xavier-munford-1","61","2165"
"872",NA,NA,NA
"873","jahlil-okafor-1","38","1143"
"874","lamar-patterson-1","149","3620"
"875","cameron-payne-1","69","2235"
"876",NA,NA,NA
"877","bobby-portis-1","70","1995"
"878",NA,NA,NA
"879","norman-powell-1","141","3553"
"880","willie-reed-1","67","1654"
"881","josh-richardson-1","28",NA
"882","terry-rozier-1","73","1956"
"883",NA,NA,NA
"884","jonathon-simmons-1","30","903"
"885","alex-stepheson-1","137","2616"
"886",NA,NA,NA
"887","karl-anthony-towns-1","39","822"
"888","myles-turner-1","34","754"
"889","rashad-vaughn-1","23","742"
"890","briante-weber-1","127","2959"
"891","alan-williams-1","29","58"
"892","justise-winslow-1","39","1134"
"893","christian-wood-1","63","1467"
"894","delon-wright-1","68","2366"
"895","joe-young-1","29","391"
"896",NA,NA,NA
"897","ron-baker-1","124","3794"
"898","wade-baldwin-1","68","2012"
"899","malik-beasley-1","34","1013"
"900",NA,NA,NA
"901",NA,NA,NA
"902","ben-bentil-1","69","1925"
"903",NA,NA,NA
"904","joel-bolomboy-1","130","3744"
"905","malcolm-brogdon-1","136","4161"
"906","jaylen-brown-1","34","938"
"907",NA,NA,NA
"908","marquese-chriss-1","34","846"
"909","semaj-christon-1","64","2227"
"910","quinn-cook-1","143","4032"
"911","deyonta-davis-1","35","651"
"912","malcolm-delaney-1","136","4692"
"913","cheick-diallo-1","27","202"
"914","kris-dunn-1","95","2992"
"915","henry-ellenson-1","33","1105"
"916","joel-embiid-1","28","646"
"917",NA,NA,NA
"918",NA,NA,NA
"919","dorian-finney-smith-1","134","3832"
"920","bryn-forbes-1","138","4015"
"921","patricio-garino-1","129","3882"
"922","michael-gbinije-1","120","3060"
"923","marcus-georges-hunt-1","130","4017"
"924","jonathan-gibson-1","131","3209"
"925","treveon-graham-1","140","3556"
"926","andrew-harrison-1","79","2259"
"927",NA,NA,NA
"928",NA,NA,NA
"929","buddy-hield-1","132","4184"
"930","danuel-house-1","119","3581"
"931","brandon-ingram-1","36","1245"
"932","demetrius-jackson-1","57","1658"
"933","pierre-jackson-1","74","2427"
"934","brice-johnson-1","148","3108"
"935","damian-jones-1","99","2682"
"936",NA,NA,NA
"937","skal-labissiere-1","36","568"
"938","jake-layman-1","141","3933"
"939","caris-levert-1","103","2719"
"940","shawn-long-1","135","4023"
"941",NA,NA,NA
"942",NA,NA,NA
"943","patrick-mccaw-1","65","2060"
"944","rodney-mcgruder-1","135","3699"
"945","dejounte-murray-1","34","1139"
"946","jamal-murray-1","36","1267"
"947","maurice-ndour-1","66","2131"
"948","georges-niang-1","138","4112"
"949","david-nwaba-1","88","2288"
"950","daniel-ochefu-1","141","3059"
"951","chinanu-onuaku-1","66","1386"
"952",NA,NA,NA
"953","marshall-plumlee-1","124","1773"
"954","alex-poythress-1","112","2475"
"955","tim-quarterman-1","99","2465"
"956","chasson-randle-1","144","4795"
"957","malachi-richardson-1","37","1272"
"958","domantas-sabonis-1","74","1968"
"959",NA,NA,NA
"960",NA,NA,NA
"961","wayne-selden-1","109","3215"
"962","pascal-siakam-1","68","2223"
"963","diamond-stone-1","35","808"
"964","isaiah-taylor-1","92","2833"
"965","mike-tobey-1","138","2249"
"966","tyler-ulis-1","72","2167"
"967","jarrod-uthoff-1","100","2650"
"968","denzel-valentine-1","144","4176"
"969",NA,NA,NA
"970","okaro-white-1","139","3419"
"971","isaiah-whitehead-1","56","1708"
"972","troy-williams-1","37",NA
"973","kyle-wiltjer-1","147","3498"
"974",NA,NA,NA
"975",NA,NA,NA
"976",NA,NA,NA
"977",NA,NA,NA
"978","jarrett-allen-1","33","1062"
"979","kadeem-allen-1","68","1870"
"980","ike-anigbogu-1","29","377"
"981","og-anunoby-1","50","869"
"982","ryan-arcidiacono-1","144","4593"
"983","jamel-artis-1","135","3726"
"984","dwayne-bacon-1","69","1987"
"985","lonzo-ball-1","36","1263"
"986","jordan-bell-1","105","2593"
"987","khem-birch-1","69","1752"
"988","jabari-bird-1","114","3009"
"989","antonio-blakeney-1","64","2035"
"990",NA,NA,NA
"991","chris-boucher-1","69","1711"
"992","tony-bradley-1","38","554"
"993","dillon-brooks-1","109","3150"
"994","sterling-brown-1","32","156"
"995","thomas-bryant-1","69","1745"
"996","alex-caruso-1","137","3931"
"997","tyler-cavanaugh-1","137","3507"
"998","gian-clavell-1","70","2170"
"999","antonius-cleveland-1","121","3484"
"1000","john-collins-1","64","1324"
"1001","zach-collins-1","39","674"
"1002","kyle-collinsworth-1","140","4326"
"1003","charles-cooke-1","123","3726"
"1004","matt-costello-1","138","2277"
"1005","torrey-craig-1","131","4061"
"1006","tyler-dorsey-1","75","2250"
"1007","damyean-dotson-1","134","3899"
"1008","milton-doyle-1","121","3678"
"1009","pj-dozier-1","70","1680"
"1010","jawun-evans-1","54","1571"
"1011",NA,NA,NA
"1012",NA,NA,NA
"1013","markelle-fultz-1","25","892"
"1014","josh-gray-1","94","2096"
"1015","daniel-hamilton-1","71","2243"
"1016","shaquille-harrison-1","133","4016"
"1017","josh-hart-1","146","4088"
"1018","nigel-hayes-1","150","4440"
"1019","reggie-hearn-1","95","1919"
"1020","myke-henry-1","120","2340"
"1021","isaiah-hicks-1","151","2446"
"1022","john-holland-1","129","4192"
"1023","andre-ingram-1","118","3917"
"1024","jonathan-isaac-1","32","838"
"1025","aaron-jackson-1","120","3792"
"1026","josh-jackson-1","114","2154"
"1027","justin-jackson-1","6","7"
"1028","mike-james-1","111","2863"
"1029","dakari-johnson-1","78","1185"
"1030","omari-johnson-1","120","2496"
"1031","jalen-jones-1","128","3520"
"1032","luke-kennard-1","73","2277"
"1033",NA,NA,NA
"1034",NA,NA,NA
"1035","luke-kornet-1","128","3084"
"1036","kyle-kuzma-1","96","2016"
"1037","damion-lee-1","125","4100"
"1038","tyler-lydon-1","71","2350"
"1039",NA,NA,NA
"1040","lauri-markkanen-1","37","1139"
"1041","frank-mason-1","145","4350"
"1042","mangok-mathiang-1","114","2052"
"1043","erik-mccree-1","123","3087"
"1044","trey-mckinney-jones-1","130","3328"
"1045","alfonzo-mckinnie-1","96","1814"
"1046","malcolm-miller-1","112","2912"
"1047","donovan-mitchell-1","65","1690"
"1048",NA,NA,NA
"1049","malik-monk-1","38","1219"
"1050","ben-moore-1","135","3307"
"1051",NA,NA,NA
"1052","monte-morris-1","140","4732"
"1053","johnathan-motley-1","102","2478"
"1054","abdel-nader-1","117","2843"
"1055",NA,NA,NA
"1056",NA,NA,NA
"1057","semi-ojeleye-1","58","1339"
"1058",NA,NA,NA
"1059","marcus-paige-1","141","4568"
"1060","justin-patton-1","35","885"
"1061","brandon-paul-1","138","3670"
"1062","london-perrantes-1","138","4429"
"1063","alec-peters-1","134","4247"
"1064","jacob-pullen-1","135","3982"
"1065","rodney-purvis-1","137","4096"
"1066",NA,NA,NA
"1067","ivan-rabb-1","65","1989"
"1068","xavier-rathan-mayes-1","100","3050"
"1069","davon-reed-1","131","3681"
"1070","devin-robinson-1","105","2415"
"1071","ben-simmons-1","33","1151"
"1072","kobi-simmons-1","37","869"
"1073","edmond-sumner-1","58","1542"
"1074","caleb-swanigan-1","69","2014"
"1075","jayson-tatum-1","29","965"
"1076",NA,NA,NA
"1077",NA,NA,NA
"1078","sindarius-thornwell-1","132","4197"
"1079","tyrone-wallace-1","129","4076"
"1080","jameel-warney-1","135","4144"
"1081","andrew-white-1",NA,NA
"1082","derrick-white-1","34","1115"
"1083","jacob-wiley-1","54","1225"
"1084",NA,NA,NA
"1085",NA,NA,NA
"1086","jamil-wilson-1","127","3060"
"1087",NA,NA,NA
"1088",NA,NA,NA
"1089","jaylen-adams-1","110","3992"
"1090","deng-adel-1","89","2385"
"1091","devaughn-akoon-purcell-1","60","1632"
"1092","rawle-alkins-1","60","1758"
"1093","grayson-allen-1","142","3961"
"1094","kostas-antetokounmpo-1","29","437"
"1095","deandre-ayton-1","35","1172"
"1096",NA,NA,NA
"1097","keita-bates-diop-1","109","2703"
"1098",NA,NA,NA
"1099","jaron-blossomgame-1","128","3929"
"1100","jonah-bolden-1","31","672"
"1101",NA,NA,NA
"1102","mikal-bridges-1","116","3166"
"1103","miles-bridges-1","62","1959"
"1104","isaiah-briscoe-1","70","2191"
"1105","ryan-broekhoff-1","134","3644"
"1106","bruce-brown-1","114","2325"
"1107","jalen-brunson-1","116","3352"
"1108","deonte-burton-1","130","4394"
"1109","jevon-carter-1","144","4305"
"1110","troy-caupain-1","137","3986"
"1111","joe-chealey-1","129","4011"
"1112","chris-chiozza-1","139","3488"
"1113","gary-clark-1","109","1515"
"1114","bonzie-colson-1","125","3137"
"1115","tyler-davis-1","43","146"
"1116","angel-delgado-1","132","4039"
"1117","marcus-derrickson-1","89","2287"
"1118","hamidou-diallo-1","37","917"
"1119","donte-divincenzo-1","85","2159"
"1120",NA,NA,NA
"1121","trevon-duval-1","37","1102"
"1122","drew-eubanks-1","96","2716"
"1123","jacob-evans-1","105","3055"
"1124","billy-garrett-1","125","3650"
"1125","shai-gilgeous-alexander-1","37","1246"
"1126","brandon-goodwin-1","126","3628"
"1127",NA,NA,NA
"1128","donte-grantham-1","114","3442"
"1129","dusty-hannahs-1","131","3157"
"1130",NA,NA,NA
"1131",NA,NA,NA
"1132","aaron-holiday-1","101","3211"
"1133","kevin-huerter-1","65","2073"
"1134","isaac-humphries-1","61","524"
"1135","chandler-hutchison-1","123","2952"
"1136","frank-jackson-1","52",NA
"1137","amile-jefferson-1","150","3345"
"1138","alize-johnson-1","66","2026"
"1139","jemerrio-jones-1","68","1795"
"1140","george-king-1","127","2870"
"1141","kevin-knox-1","37","1198"
"1142",NA,NA,NA
"1143","zach-lofton-1","99","2910"
"1144","jordan-loyd-1","28","588"
"1145","daryl-macon-1","71","1988"
"1146",NA,NA,NA
"1147","yante-maten-1","128","3571"
"1148","tahjere-mccall-1","117","3042"
"1149",NA,NA,NA
"1150","chimezie-metu-1","104","2808"
"1151",NA,NA,NA
"1152",NA,NA,NA
"1153",NA,NA,NA
"1154","josh-okogie-1","61","2013"
"1155","theo-pinson-1","122","2647"
"1156","cameron-reynolds-1","135","3550"
"1157","duncan-robinson-1","115","2863"
"1158","jerome-robinson-1","113","2836"
"1159",NA,NA,NA
"1160","brandon-sampson-1","85","1717"
"1161","collin-sexton-1","33","986"
"1162","landry-shamet-1","71","2030"
"1163","jordan-sibert-1","122","2659"
"1164",NA,NA,NA
"1165","zhaire-smith-1","37","1050"
"1166",NA,NA,NA
"1167","omari-spellman-1","40","1124"
"1168","jared-terrell-1","134","4234"
"1169",NA,NA,NA
"1170","khyri-thomas-1","102","2774"
"1171","allonzo-trier-1","78","2457"
"1172","jarred-vanderbilt-1","14","238"
"1173","moritz-wagner-1","107","2247"
"1174","brad-wanamaker-1","134","3149"
"1175","julian-washburn-1","130","4446"
"1176","yuta-watanabe-1","134","4033"
"1177","thomas-welsh-1","132","3300"
"1178","johnathan-williams-1","14",NA
"1179","kenrich-williams-1","102","3284"
"1180","trae-young-1","32","1132"
