"","pre_nba_group","MonthSegment","round","mean_gs","size"
"150",3,14,1,4.54585635359116,181
"151",3,14,2,4.00847457627119,59
"152",3,14,3,2.91315789473684,38
"153",3,15,1,4.75137614678899,218
"154",3,15,2,3.06947368421053,95
"155",3,15,3,3.398,50
"156",3,16,1,5.14444444444444,288
"157",3,16,2,3.59568965517241,116
"158",3,16,3,2.71645569620253,79
"159",3,17,1,4.97712418300654,306
"160",3,17,2,3.66861313868613,137
"161",3,17,3,2.20454545454545,88
"162",3,18,1,5.52766666666667,300
"163",3,18,2,3.51032258064516,155
"164",3,18,3,2.96315789473684,95
"165",3,19,1,5.24226804123711,291
"166",3,19,2,4.65075757575758,132
"167",3,19,3,3.12842105263158,95
"168",3,20,1,5.90622222222222,225
"169",3,20,2,4.1787037037037,108
"170",3,20,3,3.61052631578947,76
"171",4,2,1,3.48333333333333,6
"172",4,2,2,1.18,10
"173",4,2,3,0.633333333333333,9
"174",4,3,1,3.41095890410959,73
"175",4,3,2,3.23636363636364,77
"176",4,3,3,1.53802816901408,71
"177",4,4,1,3.14166666666667,216
"178",4,4,2,2.103125,192
"179",4,4,3,2.46830985915493,142
"180",4,5,1,3.78536585365854,205
"181",4,5,2,2.88756756756757,185
"182",4,5,3,2.61777777777778,180
"183",4,6,1,3.45948275862069,232
"184",4,6,2,2.84095238095238,210
"185",4,6,3,2.57142857142857,203
"186",4,7,1,3.78311111111111,225
"187",4,7,2,2.790625,192
"188",4,7,3,2.80224719101124,178
"189",4,8,1,3.72764976958525,217
"190",4,8,2,2.75068493150685,219
"191",4,8,3,2.62804232804233,189
"192",4,9,1,4.50756302521008,238
"193",4,9,2,2.57885462555066,227
"194",4,9,3,2.41166666666667,180
"195",4,10,1,4.48648648648649,259
"196",4,10,2,3.23598130841122,214
"197",4,10,3,2.85159574468085,188
"198",4,11,1,4.47170542635659,258
"199",4,11,2,3.11153846153846,260
"200",4,11,3,2.98820754716981,212
"201",4,12,1,3.87582417582418,273
"202",4,12,2,3.00693069306931,303
"203",4,12,3,2.99455252918288,257
"204",4,13,1,4.66071428571429,252
"205",4,13,2,3.09857651245552,281
"206",4,13,3,2.84876033057851,242
"207",4,14,1,4.8077380952381,168
"208",4,14,2,3.15810055865922,179
"209",4,14,3,2.69059829059829,117
"210",4,15,1,4.56923076923077,221
"211",4,15,2,3.34977578475336,223
"212",4,15,3,3.12138364779874,159
"213",4,16,1,4.76332046332046,259
"214",4,16,2,3.45659722222222,288
"215",4,16,3,3.21260162601626,246
"216",4,17,1,5.02964285714286,280
"217",4,17,2,3.3375,280
"218",4,17,3,3.50751445086705,346
"219",4,18,1,4.9681660899654,289
"220",4,18,2,3.63440514469453,311
"221",4,18,3,3.35011933174224,419
"222",4,19,1,5.46287878787879,264
"223",4,19,2,3.65846645367412,313
"224",4,19,3,3.92359813084112,428
"225",4,20,1,5.40204081632653,196
"226",4,20,2,3.79953488372093,215
"227",4,20,3,3.92607142857143,280
"228",5,2,2,4,4
"229",5,2,3,2.2,1
"230",5,3,1,2.15,24
"231",5,3,2,1.23636363636364,11
"232",5,3,3,0.9,4
"233",5,4,1,2.81842105263158,38
"234",5,4,2,1.94666666666667,30
"235",5,4,3,2.4,6
"236",5,5,1,3.01707317073171,41
"237",5,5,2,2.28125,32
"238",5,5,3,1.34444444444444,9
"239",5,6,1,3.67142857142857,49
"240",5,6,2,2.66153846153846,26
"241",5,6,3,1.37142857142857,7
"242",5,7,1,3.26363636363636,33
"243",5,7,2,2.93939393939394,33
"244",5,7,3,1.575,8
"245",5,8,1,4.28888888888889,36
"246",5,8,2,3.73870967741935,31
"247",5,8,3,5.1,5
"248",5,9,1,4.05757575757576,33
"249",5,9,2,2.85151515151515,33
"250",5,9,3,4.3,6
"251",5,10,1,3.97647058823529,34
"252",5,10,2,4.37941176470588,34
"253",5,10,3,3.55,6
"254",5,11,1,4.1695652173913,46
"255",5,11,2,3.87647058823529,34
"256",5,11,3,1.62,5
"257",5,12,1,3.89454545454545,55
"258",5,12,2,4.196875,32
"259",5,12,3,5.78,5
"260",5,13,1,5.734,50
"261",5,13,2,2.096875,32
"262",5,13,3,3.07142857142857,7
"263",5,14,1,4.58,30
"264",5,14,2,3.97647058823529,17
"265",5,14,3,4.16,5
"266",5,15,1,3.28837209302326,43
"267",5,15,2,3.35,16
"268",5,15,3,-1,1
"269",5,16,1,4.71333333333333,45
"270",5,16,2,3.84,35
"271",5,16,3,1.95,6
"272",5,17,1,4.50869565217391,46
"273",5,17,2,3.285,40
"274",5,17,3,1.125,4
"275",5,18,1,3.67543859649123,57
"276",5,18,2,3.8125,40
"277",5,18,3,0.575,4
"278",5,19,1,4.62272727272727,44
"279",5,19,2,3.37777777777778,45
"280",5,19,3,1.51666666666667,6
"281",5,20,1,4.41,30
"282",5,20,2,3.43611111111111,36
"283",5,20,3,1.75,4
"284",6,2,2,-0.05,2
"285",6,2,3,1.25,2
"286",6,3,1,1.79090909090909,11
"287",6,3,2,4.34285714285714,7
"288",6,3,3,1.46666666666667,6
"289",6,4,1,2.26216216216216,37
"290",6,4,2,2.67333333333333,15
"291",6,4,3,6.15555555555556,9
"292",6,5,1,2.92777777777778,36
"293",6,5,2,2.56666666666667,12
"294",6,5,3,8.5,4
"295",6,6,1,2.1,43
"296",6,6,2,2.62142857142857,14
"297",6,6,3,5.17272727272727,11
"298",6,7,1,2.79512195121951,41
"299",6,7,2,3.37647058823529,17
"300",6,7,3,4.92857142857143,7
"301",6,8,1,3.5741935483871,31
"302",6,8,2,3.73846153846154,13
"303",6,8,3,4.6,8
"304",6,9,1,3.29259259259259,27
"305",6,9,2,4.32,10
"306",6,9,3,6.16666666666667,6
"307",6,10,1,3.009375,32
"308",6,10,2,3.48333333333333,18
"309",6,10,3,4.15,10
"310",6,11,1,3.42051282051282,39
"311",6,11,2,4.13888888888889,18
"312",6,11,3,5.28333333333333,12
"313",6,12,1,3.78260869565217,46
"314",6,12,2,5.85,20
"315",6,12,3,5.26666666666667,9
"316",6,13,1,3.3906976744186,43
"317",6,13,2,3.7,15
"318",6,13,3,5.02142857142857,14
"319",6,14,1,3.996,25
"320",6,14,2,5.5,10
"321",6,14,3,8.94,5
"322",6,15,1,3.61428571428571,35
"323",6,15,2,3.58181818181818,11
"324",6,15,3,4.6875,8
"325",6,16,1,3.86444444444444,45
"326",6,16,2,1.91111111111111,9
"327",6,16,3,4.43333333333333,12
"328",6,17,1,5.37674418604651,43
"329",6,17,2,3.43076923076923,13
"330",6,17,3,5.625,12
"331",6,18,1,4.29622641509434,53
"332",6,18,2,4.76,20
"333",6,18,3,4.19375,16
"334",6,19,1,4.19583333333333,48
"335",6,19,2,6.26666666666667,18
"336",6,19,3,3.58461538461538,13
"337",6,20,1,5.23095238095238,42
"338",6,20,2,3.0875,8
"339",6,20,3,4.12307692307692,13
"340",7,2,1,-0.5,1
"341",7,2,2,0,1
"342",7,2,3,2.45,2
"343",7,3,1,4.08571428571429,14
"344",7,3,2,3.18823529411765,17
"345",7,3,3,3.7,14
"346",7,4,1,4.52093023255814,43
"347",7,4,2,2.98064516129032,31
"348",7,4,3,2.84,25
"349",7,5,1,4.31428571428571,42
"350",7,5,2,4.0037037037037,27
"351",7,5,3,1.72692307692308,26
"352",7,6,1,5.23555555555556,45
"353",7,6,2,5.69333333333333,30
"354",7,6,3,4.525,20
"355",7,7,1,4.43488372093023,43
"356",7,7,2,4.71818181818182,33
"357",7,7,3,3.67037037037037,27
"358",7,8,1,4.26923076923077,39
"359",7,8,2,4.36666666666667,39
"360",7,8,3,3.07,20
"361",7,9,1,3.6936170212766,47
"362",7,9,2,4.82285714285714,35
"363",7,9,3,4.25909090909091,22
"364",7,10,1,4.14255319148936,47
"365",7,10,2,4.43636363636364,33
"366",7,10,3,3.31666666666667,18
"367",7,11,1,4.47843137254902,51
"368",7,11,2,5.58108108108108,37
"369",7,11,3,4.42222222222222,18
"370",7,12,1,4.84827586206897,58
"371",7,12,2,6.159375,32
"372",7,12,3,5.47142857142857,35
"373",7,13,1,4.18297872340426,47
"374",7,13,2,6.18484848484848,33
"375",7,13,3,3.71363636363636,22
"376",7,14,1,4.91818181818182,33
"377",7,14,2,6.83125,16
"378",7,14,3,3.28333333333333,12
"379",7,15,1,5.73333333333333,36
"380",7,15,2,4.025,28
"381",7,15,3,2.04444444444444,18
"382",7,16,1,5.82888888888889,45
"383",7,16,2,5.13055555555556,36
"384",7,16,3,3.24782608695652,23
"385",7,17,1,4.67735849056604,53
"386",7,17,2,4.81,40
"387",7,17,3,2.06875,16
"388",7,18,1,4.28297872340426,47
"389",7,18,2,3.40769230769231,39
"390",7,18,3,3.76785714285714,28
"391",7,19,1,4.87111111111111,45
"392",7,19,2,5.68,50
"393",7,19,3,5.67142857142857,21
"394",7,20,1,4.59285714285714,28
"395",7,20,2,5.35,30
"396",7,20,3,3.88571428571429,14
"397",8,2,1,0.8,1
"398",8,2,3,2.9,1
"399",8,3,1,7.61666666666667,12
"400",8,3,2,4.1,12
"401",8,3,3,2.01111111111111,9
"402",8,4,1,5.365625,32
"403",8,4,2,3.3,29
"404",8,4,3,3.06153846153846,39
"405",8,5,1,3.83,30
"406",8,5,2,4.79411764705882,34
"407",8,5,3,4.18780487804878,41
"408",8,6,1,5.41153846153846,26
"409",8,6,2,4.76086956521739,23
"410",8,6,3,3.84210526315789,38
"411",8,7,1,6.00625,32
"412",8,7,2,3.821875,32
"413",8,7,3,4.5953488372093,43
"414",8,8,1,4.39090909090909,22
"415",8,8,2,3.81724137931034,29
"416",8,8,3,3.87391304347826,46
"417",8,9,1,7.06774193548387,31
"418",8,9,2,3.09666666666667,30
"419",8,9,3,4.31666666666667,54
"420",8,10,1,7.125,36
"421",8,10,2,4.03333333333333,33
"422",8,10,3,4.80425531914894,47
"423",8,11,1,4.56785714285714,28
"424",8,11,2,5.71111111111111,27
"425",8,11,3,4.74358974358974,39
"426",8,12,1,4.15862068965517,29
"427",8,12,2,4.15142857142857,35
"428",8,12,3,4.98245614035088,57
"429",8,13,1,5.61875,32
"430",8,13,2,5.19642857142857,28
"431",8,13,3,3.90526315789474,38
"432",8,14,1,8.46666666666667,21
"433",8,14,2,4.41538461538462,13
"434",8,14,3,4.86,20
"435",8,15,1,4.87058823529412,17
"436",8,15,2,4.71176470588235,17
"437",8,15,3,4.14878048780488,41
"438",8,16,1,5.74666666666667,30
"439",8,16,2,4.65454545454545,22
"440",8,16,3,4.69827586206897,58
"441",8,17,1,4.6,20
"442",8,17,2,3.35294117647059,17
"443",8,17,3,4.65090909090909,55
"444",8,18,1,4.54117647058824,34
"445",8,18,2,5.98,15
"446",8,18,3,4.55423728813559,59
"447",8,19,1,5.25,32
"448",8,19,2,6.05555555555556,18
"449",8,19,3,4.78888888888889,45
"450",8,20,1,5.276,25
"451",8,20,2,6.45833333333333,12
"452",8,20,3,5.51142857142857,35
"453",9,2,2,1.1,2
"454",9,3,1,2.78888888888889,9
"455",9,3,2,4.1,9
"456",9,3,3,1.01666666666667,6
"457",9,4,1,3.6,62
"458",9,4,2,4.24,15
"459",9,4,3,1.805,20
"460",9,5,1,3.09285714285714,56
"461",9,5,2,3.21851851851852,27
"462",9,5,3,3.535,20
"463",9,6,1,3.64363636363636,55
"464",9,6,2,4.10833333333333,24
"465",9,6,3,5.04210526315789,19
"466",9,7,1,3.61851851851852,54
"467",9,7,2,3.128,25
"468",9,7,3,4.68095238095238,21
"469",9,8,1,4.07678571428571,56
"470",9,8,2,2.9375,24
"471",9,8,3,3.91,20
"472",9,9,1,4.62452830188679,53
"473",9,9,2,2.87368421052632,19
"474",9,9,3,2.87619047619048,21
"475",9,10,1,4.2625,64
"476",9,10,2,2.68571428571429,21
"477",9,10,3,3.34117647058824,17
"478",9,11,1,4.1,55
"479",9,11,2,2.89142857142857,35
"480",9,11,3,3.94761904761905,21
"481",9,12,1,4.06153846153846,65
"482",9,12,2,6.471875,32
"483",9,12,3,3.42,25
"484",9,13,1,3.48983050847458,59
"485",9,13,2,4.88108108108108,37
"486",9,13,3,2.35555555555556,27
"487",9,14,1,4.46,45
"488",9,14,2,4.84117647058823,17
"489",9,14,3,5.65,16
"490",9,15,1,3.97450980392157,51
"491",9,15,2,5.21111111111111,18
"492",9,15,3,3.75652173913043,23
"493",9,16,1,3.63428571428571,70
"494",9,16,2,5.85357142857143,28
"495",9,16,3,2.60322580645161,31
"496",9,17,1,4.4453488372093,86
"497",9,17,2,4.73055555555556,36
"498",9,17,3,3.390625,32
"499",9,18,1,4.0625,88
"500",9,18,2,4.26888888888889,45
"501",9,18,3,5.2030303030303,33
"502",9,19,1,6.06623376623377,77
"503",9,19,2,6.05526315789474,38
"504",9,19,3,3.68372093023256,43
"505",9,20,1,6.54923076923077,65
"506",9,20,2,4.89583333333333,24
"507",9,20,3,4.14333333333333,30
"508",10,2,3,4.9,4
"509",10,3,1,3.02857142857143,7
"510",10,3,2,2.35,8
"511",10,3,3,3.75483870967742,31
"512",10,4,1,4.9,18
"513",10,4,2,3.33,30
"514",10,4,3,3.73243243243243,74
"515",10,5,1,3.93636363636364,11
"516",10,5,2,3.26785714285714,28
"517",10,5,3,3.05510204081633,98
"518",10,6,1,5.01428571428571,21
"519",10,6,2,2.234375,32
"520",10,6,3,3.32637362637363,91
"521",10,7,1,5.1875,16
"522",10,7,2,3.9625,32
"523",10,7,3,3.35731707317073,82
"524",10,8,1,5.12142857142857,14
"525",10,8,2,3.28571428571429,35
"526",10,8,3,3.44148936170213,94
"527",10,9,1,5.875,20
"528",10,9,2,3.06590909090909,44
"529",10,9,3,2.77848101265823,79
"530",10,10,1,2.71176470588235,17
"531",10,10,2,1.7825,40
"532",10,10,3,2.8775,80
"533",10,11,1,4.94736842105263,19
"534",10,11,2,3.08055555555556,36
"535",10,11,3,4.15857142857143,70
"536",10,12,1,5.59615384615385,26
"537",10,12,2,3.48139534883721,43
"538",10,12,3,3.34953271028037,107
"539",10,13,1,5.10909090909091,22
"540",10,13,2,3.395,40
"541",10,13,3,3.06344086021505,93
"542",10,14,1,5.56666666666667,12
"543",10,14,2,4.2625,24
