"X","pre_nba_group","Month","MonthBin","mean_gs","size","type","m","pct_change"
82,4,12,3,3.296938776,686,"NCAA","12-3",5.05489214789776
83,4,1,1,3.836879433,705,"NCAA","1-1",16.3770301386998
84,4,1,2,3.589821883,786,"NCAA","1-2",-6.43902302155034
85,4,1,3,3.438613861,909,"NCAA","1-3",-4.21213160229655
86,4,2,1,3.652688172,837,"NCAA","2-1",6.22559902488569
87,4,2,2,3.91746988,498,"NCAA","2-2",7.24895462004416
88,4,2,3,4.177639752,644,"NCAA","2-3",6.64127306576765
89,4,3,1,4.170222743,853,"NCAA","3-1",-0.177540655496911
90,4,3,2,4.22165475,979,"NCAA","3-2",1.23331558455317
91,4,3,3,4.300543478,1104,"NCAA","3-3",1.86866839359614
92,4,4,1,4.621119134,1108,"NCAA","4-1",7.45430566252725
93,4,4,2,5.142377261,774,"NCAA","4-2",11.2799110320448
94,4,4,3,3.579928315,279,"NCAA","4-3",-30.3837868499007
95,4,5,1,2.724626866,134,"NCAA","5-1",-23.891580326239
96,4,5,2,2.072368421,76,"NCAA","5-2",-23.939367740199
97,4,5,3,1.790740741,54,"NCAA","5-3",-13.5896531305039
98,4,6,1,1.779166667,24,"NCAA","6-1",-0.646328847889888
99,4,6,2,2.858333333,12,"NCAA","6-2",60.6557376560833
100,4,6,3,1.5,2,"NCAA","6-3",-47.5218658830929
101,5,10,2,2.616666667,6,"INTL","10-2",NA
102,5,10,3,2.026829268,41,"INTL","10-3",-22.54155664681
103,5,11,1,2.308860759,79,"INTL","11-1",13.9149111103126
104,5,11,2,2.65,88,"INTL","11-2",14.7752193227864
105,5,11,3,2.882222222,90,"INTL","11-3",8.76310271698113
106,5,12,1,2.78313253,83,"INTL","12-1",-3.4379615577053
107,5,12,2,4.018421053,76,"INTL","12-2",44.3848257201032
108,5,12,3,3.751898734,79,"INTL","12-3",-6.63251350430349
109,5,1,1,4.80952381,84,"INTL","1-1",28.1890624183355
110,5,1,2,4.080645161,93,"INTL","1-2",-15.1549026014698
111,5,1,3,4.133663366,101,"INTL","1-3",1.29926035977626
112,5,2,1,4.220652174,92,"INTL","2-1",2.10439990627913
113,5,2,2,4.588679245,53,"INTL","2-2",8.71967307012682
114,5,2,3,3.233333333,60,"INTL","2-3",-29.5367324590586
115,5,3,1,4.604444444,90,"INTL","3-1",42.4054982827222
116,5,3,2,3.43030303,99,"INTL","3-2",-25.5001754995657
117,5,3,3,3.55045045,111,"INTL","3-3",3.5025307953624
118,5,4,1,3.566037736,106,"INTL","4-1",0.439022772448494
119,5,4,2,4.13974359,78,"INTL","4-2",16.088047756991
120,5,4,3,3.168571429,35,"INTL","4-3",-23.4597177309718
121,5,5,1,1.763157895,19,"INTL","5-1",-44.3548004358402
122,5,5,2,2.909090909,11,"INTL","5-2",64.9932157097025
123,5,5,3,0.822222222,9,"INTL","5-3",-71.7361111178668
124,5,6,1,0.166666667,6,"INTL","6-1",-79.7297296837107
125,5,6,2,4.5,1,"INTL","6-2",2599.9999946
126,6,10,2,-0.02,5,"INTL","10-2",NA
127,6,10,3,2.454166667,24,"INTL","10-3",-12370.833335
128,6,11,1,2.14,70,"INTL","11-1",-12.801358246139
129,6,11,2,3.151785714,56,"INTL","11-2",47.2797062616822
130,6,11,3,2.746478873,71,"INTL","11-3",-12.859593823262
131,6,12,1,3.126388889,72,"INTL","12-1",13.8326210965905
132,6,12,2,3.632142857,56,"INTL","12-2",16.1769372255468
133,6,12,3,3.861702128,47,"INTL","12-3",6.32021591765273
134,6,1,1,3,67,"INTL","1-1",-22.3140495936252
135,6,1,2,3.749295775,71,"INTL","1-2",24.9765258333333
136,6,1,3,3.97037037,81,"INTL","1-3",5.89642984354841
137,6,2,1,3.115189873,79,"INTL","2-1",-21.5390610271958
138,6,2,2,5.028888889,45,"INTL","2-2",61.4312158814597
139,6,2,3,3.934482759,58,"INTL","2-3",-21.7623843786619
140,6,3,1,4.281333333,75,"INTL","3-1",8.8156587598863
141,6,3,2,5.212987013,77,"INTL","3-2",21.7608302726379
142,6,3,3,4.802061856,97,"INTL","3-3",-7.88271975309447
143,6,4,1,5.150574713,87,"INTL","4-1",7.25756700873286
144,6,4,2,5.668656716,67,"INTL","4-2",10.0587222177821
145,6,4,3,5.25625,16,"INTL","4-3",-7.27521063034152
