"","pre_nba_group","Month","MonthBin","mean_gs","size"
"150",7,1,2,5.18288288288288,111
"151",7,1,3,5.10687022900763,131
"152",7,2,1,4.95585585585586,111
"153",7,2,2,5.52153846153846,65
"154",7,2,3,4.94673913043478,92
"155",7,3,1,5.3957264957265,117
"156",7,3,2,4.73984375,128
"157",7,3,3,4.63658536585366,123
"158",7,4,1,4.93671875,128
"159",7,4,2,5.88333333333333,78
"160",7,4,3,3.93846153846154,39
"161",7,5,1,2.58888888888889,18
"162",7,5,2,1.45882352941176,17
"163",7,5,3,0.418181818181818,11
"164",7,6,1,2.15,4
"165",7,6,2,1.5,3
"166",7,6,3,-1.4,1
"167",7,10,2,1.1,4
"168",7,10,3,3.20625,48
"169",7,11,1,3.68623853211009,109
"170",7,11,2,3.25849056603774,106
"171",7,11,3,5.331,100
"172",7,12,1,4.64827586206897,116
"173",7,12,2,4.15242718446602,103
"174",7,12,3,4.26,115
"175",8,1,1,5.2991935483871,124
"176",8,1,2,5.88376068376068,117
"177",8,1,3,5.42481751824818,137
"178",8,2,1,5.27102803738318,107
"179",8,2,2,6.23793103448276,58
"180",8,2,3,4.94761904761905,84
"181",8,3,1,5.74112903225806,124
"182",8,3,2,5.30288461538461,104
"183",8,3,3,5.6504132231405,121
"184",8,4,1,5.94766355140187,107
"185",8,4,2,5.91707317073171,82
"186",8,4,3,4.05384615384615,39
"187",8,5,1,3.3,22
"188",8,5,2,1.98181818181818,11
"189",8,5,3,-1,1
"190",8,10,2,6.76666666666667,3
"191",8,10,3,5.74864864864865,37
"192",8,11,1,4.04766355140187,107
"193",8,11,2,4.72017543859649,114
"194",8,11,3,4.28823529411765,102
"195",8,12,1,4.77363636363636,110
"196",8,12,2,4.66140350877193,114
"197",8,12,3,4.89842519685039,127
"198",9,1,1,3.47964601769911,113
"199",9,1,2,4.51885245901639,122
"200",9,1,3,4.80072463768116,138
"201",9,2,1,4.39642857142857,140
"202",9,2,2,5.11931818181818,88
"203",9,2,3,4.68545454545455,110
"204",9,3,1,4.84246575342466,146
"205",9,3,2,4.68176470588235,170
"206",9,3,3,4.90452261306533,199
"207",9,4,1,6.37322404371585,183
"208",9,4,2,5.9830985915493,142
"209",9,4,3,3.71785714285714,28
"210",9,5,1,3.4625,8
"211",9,5,2,-1.3,3
"212",9,6,1,-0.4,1
"213",9,6,2,0.05,4
"214",9,10,2,1.1,2
"215",9,10,3,3.46153846153846,26
"216",9,11,1,3.02162162162162,111
"217",9,11,2,3.60900900900901,111
"218",9,11,3,4.47889908256881,109
"219",9,12,1,3.57413793103448,116
"220",9,12,2,5.27203389830508,118
"221",9,12,3,4.26727272727273,110
"222",10,1,1,2.78639455782313,147
"223",10,1,2,4.21142857142857,140
"224",10,1,3,3.66734693877551,196
"225",10,2,1,3.56647398843931,173
"226",10,2,2,3.7659793814433,97
"227",10,2,3,3.10243902439024,123
"228",10,3,1,3.99867549668874,151
"229",10,3,2,3.28674698795181,166
"230",10,3,3,3.54711538461538,208
"231",10,4,1,4.18125,192
"232",10,4,2,4.39295774647887,142
"233",10,4,3,3.690625,64
"234",10,5,1,3.03076923076923,26
"235",10,5,2,0.857142857142857,7
"236",10,5,3,-0.133333333333333,3
"237",10,6,1,1.45,2
"238",10,10,2,4.9,4
"239",10,10,3,4.1,50
"240",10,11,1,3.74736842105263,133
"241",10,11,2,3.28535031847134,157
"242",10,11,3,3.60124223602484,161
"243",10,12,1,3.85067567567568,148
"244",10,12,2,3.22173913043478,161
"245",10,12,3,3.16708074534161,161
