"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"24",1,"1 (NCAA)","1 (Oct)",3,3,1,1105,33,0,0,0.3,5.4,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.4"
"25",1,"1 (NCAA)","1 (Oct)",3,3,1,1115,34,0,0,1.5,4.5,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 4.5"
"26",1,"1 (NCAA)","1 (Oct)",3,3,1,1132,32,0,0,6.95,9.06,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 9.06"
"27",1,"1 (NCAA)","1 (Oct)",3,3,1,1148,35,0,0,3.3,6.252631579,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 6.25"
"28",1,"1 (NCAA)","1 (Oct)",3,3,1,1169,35,0,0,6.35,10.365,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 10.37"
"29",1,"1 (NCAA)","1 (Oct)",3,3,1,1172,35,0,0,7.8,8.8784274195,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.88"
"30",1,"1 (NCAA)","1 (Oct)",3,3,1,1216,33,0,0,10.1,11.01818182,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 11.02"
"31",1,"1 (NCAA)","1 (Oct)",3,3,1,1256,35,0,0,7.3,8.2125,1,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 8.21"
"32",1,"1 (NCAA)","1 (Oct)",3,3,1,1274,35,0,0,4.4,4.777632805,2,"21st-end of month","1st round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 4.78"
"33",1,"1 (NCAA)","1 (Oct)",3,3,2,7,6,0,0,1.9,4.023529412,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 4.02"
"34",1,"1 (NCAA)","1 (Oct)",3,3,2,156,32,0,0,2.2,7.92,1,"21st-end of month","2nd round","Time: 1 (Oct)	21st-end of month
Pre-NBA Group: 1 (NCAA)
Draft Pos: 2nd round
Size: 1
Avg. Game Score: 7.92"
