year,round,pick,First,Last,Unnamed: 5
1999,2,46,JR,Koch,
1999,2,47,,Macculloch,
1999,2,48,Galen,Young,
1999,2,49,Lari,Ketner,
1999,2,50,Venson,Hamilton,
1999,2,51,Antwain,Smith,
1999,2,52,Roberto,Bergersen,
1999,2,53,Rodney,Buford,
1999,2,54,Melvin,Levett,
1999,2,55,Kris,Clack,
1999,2,56,Tim,Young,
1999,2,57,Manu,Ginobili,
1999,2,58,Eddie,Lucas,
2000,1,1,Kenyon,Martin,
2000,1,2,Stromile,Swift,
2000,1,3,Darius,Miles,
2000,1,4,Marcus,Fizer,
2000,1,5,Mike,Miller,
2000,1,6,DerMarr,Johnson,
2000,1,7,Chris,Mihm,
2000,1,8,Jamal,Crawford,
2000,1,9,Joel,Przybilla,
2000,1,10,Keyon,Dooling,
2000,1,11,Jerome,Moiso,
2000,1,12,Etan,Thomas,
2000,1,13,Courtney,Alexander,
2000,1,14,Mateen,Cleaves,
2000,1,15,Jason,Collier,
2000,1,16,Hedo,Turkoglu,
2000,1,17,Desmond,Mason,
2000,1,18,Quentin,Richardson,
2000,1,19,Jamaal,Magloire,
2000,1,20,Speedy,Claxton,
2000,1,21,Morris,Peterson,
2000,1,22,Donnell,Harvey,
2000,1,23,DeShawn,Stevenson,
2000,1,24,Dalibor,Bagaric,
2000,1,25,Jake,Tsakalidis,
2000,1,26,Mamadou,N'Diaye,
2000,1,27,Primoz,Brezec,
2000,1,28,Erick,Barkley,
2000,1,29,Mark,Madsen,
2000,2,30,Marko,Jaric,
2000,2,31,Dan,Langhi,
2000,2,32,AJ,Guyton,
2000,2,33,Jake,Voskuhl,
2000,2,34,Khalid,El-Amin,
2000,2,35,Mike,Smith,
2000,2,36,Soumaila,Samake,
2000,2,37,Eddie,House,
2000,2,38,Eduardo,Najera,
2000,2,39,Lavor,Postell,
2000,2,40,Eduardo,Mottola,
2000,2,41,Chris,Carrawell,
2000,2,42,Olumide,Oyedeji,
2000,2,43,Michael,Redd,
2000,2,44,Brian,Cardinal,
2000,2,45,Jabari,Smith,
2000,2,46,DeeAndre,Hulett,
2000,2,47,Josip,Sesar,
2000,2,48,Mark,Karcher,
2000,2,49,Jason,Hart,
2000,2,50,Kaniel,Dickens,
2000,2,51,Igor,Rakocevic,
2000,2,52,Ernest,Brown,
2000,2,53,Dan,McClintock,
2000,2,54,Cory,Hightower,
2000,2,55,Chris,Porter,
2000,2,56,Jaquay,Walls,
2000,2,57,Scoonie,Penn,
2000,2,58,Pete,Mickeal,
2001,1,1,Kwame,Brown,
2001,1,2,Tyson,Chandler,
2001,1,3,Pau,Gasol,
2001,1,4,Eddy,Curry,
2001,1,5,Jason,Richardson,
2001,1,6,Shane,Battier,
2001,1,7,Eddie,Griffin,
2001,1,8,DeSagana,Diop,
2001,1,9,Rodney,White,
2001,1,10,Joe,Johnson,
2001,1,11,Kedrick,Brown,
2001,1,12,Vladimir,Radmanovic,
2001,1,13,Richard,Jefferson,
2001,1,14,Troy,Murphy,
2001,1,15,Steven,Hunter,
2001,1,16,Kirk,Haston,
2001,1,17,Michael,Bradley,
2001,1,18,Jason,Collins,
2001,1,19,Zach,Randolph,
2001,1,20,Brendan,Haywood,
2001,1,21,Joseph,Forte,
2001,1,22,Jeryl,Sasser,
2001,1,23,Brandon,Armstrong,
2001,1,24,Raul,Lopez,
2001,1,25,Gerald,Wallace,
2001,1,26,Samuel,Dalembert,
2001,1,27,Jamaal,Tinsley,
2001,1,28,Tony,Parker,
2001,2,30,Trenton,Hassell,
2001,2,31,Gilbert,Arenas,
2001,2,32,Omar,Cook,
2001,2,33,Will,Solomon,
2001,2,34,Terence,Morris,
2001,2,35,Brian,Scalabrine,
2001,2,36,Jeff,Trepagnier,
2001,2,37,Damone,Brown,
2001,2,38,Mehmet,Okur,
2001,2,39,Michael,Wright,
2001,2,40,Earl,Watson,
2001,2,41,Jamison,Brewer,
2001,2,42,Bobby,Simmons,
2001,2,43,Eric,Chenowith,
2001,2,44,Kyle,Hill,
2001,2,45,Sean,Lampley,
2001,2,46,Loren,Woods,
2001,2,47,Ousmane,Cisse,
2001,2,48,Antonis,Fotsis,
2001,2,49,Ken,Johnson,
2001,2,50,Ruben,Boumtje-Boumtje,
2001,2,51,Alton,Ford,
2001,2,52,Andre,Hutson,
2001,2,53,Jarron,Collins,
2001,2,54,Kenny,Satterfield,
2001,2,55,Maurice,Jeffers,
2001,2,56,Robertas,Javtokas,
2001,2,57,Alvin,Jones,
2001,2,58,Bryan,Bracey,
2002,1,1,Yao,Ming,
2002,1,2,Jay,Williams,
2002,1,3,Mike,DunleavyJr.,
2002,1,4,Drew,Gooden,
2002,1,5,Nikoloz,Tskitishvili,
2002,1,6,Dajuan,Wagner,
2002,1,7,Nene,Hilario,
2002,1,8,Chris,Wilcox,
2002,1,9,Amare,Stoudemire,
2002,1,10,Caron,Butler,
2002,1,11,Jared,Jeffries,
2002,1,12,Melvin,Ely,
2002,1,13,Marcus,Haislip,
2002,1,14,Fred,Jones,
2002,1,15,Bostjan,Nachbar,
2002,1,16,Jiri,Welsch,
2002,1,17,Juan,Dixon,
2002,1,18,Curtis,Borchardt,
2002,1,19,Ryan,Humphrey,
2002,1,20,Kareem,Rush,
2002,1,21,Qyntel,Woods,
2002,1,22,Casey,Jacobsen,
2002,1,23,Tayshaun,Prince,
2002,1,24,Nenad,Krstic,
2002,1,25,Frank,Williams,
2002,1,26,John,Salmons,
2002,1,27,Chris,Jefferies,
2002,1,28,Dan,Dickau,
