"","pre_nba_group","Month","MonthBin","round","mean_gs","size"
"135",3,3,2,1,4.97712418300654,306
"136",3,3,2,2,3.66861313868613,137
"137",3,3,2,3,2.20454545454545,88
"138",3,3,3,1,5.52766666666667,300
"139",3,3,3,2,3.51032258064516,155
"140",3,3,3,3,2.96315789473684,95
"141",3,4,1,1,5.24226804123711,291
"142",3,4,1,2,4.65075757575758,132
"143",3,4,1,3,3.12842105263158,95
"144",3,4,2,1,5.90622222222222,225
"145",3,4,2,2,4.1787037037037,108
"146",3,4,2,3,3.61052631578947,76
"147",3,10,2,1,5.02,10
"148",3,10,2,2,2.91666666666667,6
"149",3,10,2,3,3.22857142857143,7
"150",3,10,3,1,4.46410256410256,78
"151",3,10,3,2,2.62619047619048,42
"152",3,10,3,3,3.475,12
"153",3,11,1,1,4.12159090909091,264
"154",3,11,1,2,3.53372093023256,86
"155",3,11,1,3,2.4,26
"156",3,11,2,1,4.64658634538153,249
"157",3,11,2,2,2.64166666666667,96
"158",3,11,2,3,1.89423076923077,52
"159",3,11,3,1,4.71954887218045,266
"160",3,11,3,2,2.77363636363636,110
"161",3,11,3,3,2.41020408163265,49
"162",3,12,1,1,4.35238095238095,252
"163",3,12,1,2,3.21442307692308,104
"164",3,12,1,3,2.12765957446809,47
"165",3,12,2,1,4.15905172413793,232
"166",3,12,2,2,3.56388888888889,108
"167",3,12,2,3,2.05217391304348,46
"168",3,12,3,1,4.21412639405204,269
"169",3,12,3,2,3.49,120
"170",3,12,3,3,1.88333333333333,42
"171",4,1,1,1,4.48648648648649,259
"172",4,1,1,2,3.23598130841122,214
"173",4,1,1,3,2.85159574468085,188
"174",4,1,2,1,4.47170542635659,258
"175",4,1,2,2,3.11153846153846,260
"176",4,1,2,3,2.98820754716981,212
"177",4,1,3,1,3.87582417582418,273
"178",4,1,3,2,3.00693069306931,303
"179",4,1,3,3,2.99455252918288,257
"180",4,2,1,1,4.66071428571429,252
"181",4,2,1,2,3.09857651245552,281
"182",4,2,1,3,2.84876033057851,242
"183",4,2,2,1,4.8077380952381,168
"184",4,2,2,2,3.15810055865922,179
"185",4,2,2,3,2.69059829059829,117
"186",4,2,3,1,4.56923076923077,221
"187",4,2,3,2,3.34977578475336,223
"188",4,2,3,3,3.12138364779874,159
"189",4,3,1,1,4.76332046332046,259
"190",4,3,1,2,3.45659722222222,288
"191",4,3,1,3,3.21260162601626,246
"192",4,3,2,1,5.02964285714286,280
"193",4,3,2,2,3.3375,280
"194",4,3,2,3,3.50751445086705,346
"195",4,3,3,1,4.9681660899654,289
"196",4,3,3,2,3.63440514469453,311
"197",4,3,3,3,3.35011933174224,419
"198",4,4,1,1,5.46287878787879,264
"199",4,4,1,2,3.65846645367412,313
"200",4,4,1,3,3.92359813084112,428
"201",4,4,2,1,5.40204081632653,196
"202",4,4,2,2,3.79953488372093,215
"203",4,4,2,3,3.92607142857143,280
"204",4,10,2,1,3.48333333333333,6
"205",4,10,2,2,1.18,10
"206",4,10,2,3,0.633333333333333,9
"207",4,10,3,1,3.41095890410959,73
"208",4,10,3,2,3.23636363636364,77
"209",4,10,3,3,1.53802816901408,71
"210",4,11,1,1,3.14166666666667,216
"211",4,11,1,2,2.103125,192
"212",4,11,1,3,2.46830985915493,142
"213",4,11,2,1,3.78536585365854,205
"214",4,11,2,2,2.88756756756757,185
"215",4,11,2,3,2.61777777777778,180
"216",4,11,3,1,3.45948275862069,232
"217",4,11,3,2,2.84095238095238,210
"218",4,11,3,3,2.57142857142857,203
"219",4,12,1,1,3.78311111111111,225
"220",4,12,1,2,2.790625,192
"221",4,12,1,3,2.80224719101124,178
"222",4,12,2,1,3.72764976958525,217
"223",4,12,2,2,2.75068493150685,219
"224",4,12,2,3,2.62804232804233,189
"225",4,12,3,1,4.50756302521008,238
"226",4,12,3,2,2.57885462555066,227
"227",4,12,3,3,2.41166666666667,180
"228",5,1,1,1,3.97647058823529,34
"229",5,1,1,2,4.37941176470588,34
"230",5,1,1,3,3.55,6
"231",5,1,2,1,4.1695652173913,46
"232",5,1,2,2,3.87647058823529,34
"233",5,1,2,3,1.62,5
"234",5,1,3,1,3.89454545454545,55
"235",5,1,3,2,4.196875,32
"236",5,1,3,3,5.78,5
"237",5,2,1,1,5.734,50
"238",5,2,1,2,2.096875,32
"239",5,2,1,3,3.07142857142857,7
"240",5,2,2,1,4.58,30
"241",5,2,2,2,3.97647058823529,17
"242",5,2,2,3,4.16,5
"243",5,2,3,1,3.28837209302326,43
"244",5,2,3,2,3.35,16
"245",5,2,3,3,-1,1
"246",5,3,1,1,4.71333333333333,45
"247",5,3,1,2,3.84,35
"248",5,3,1,3,1.95,6
"249",5,3,2,1,4.50869565217391,46
"250",5,3,2,2,3.285,40
"251",5,3,2,3,1.125,4
"252",5,3,3,1,3.67543859649123,57
"253",5,3,3,2,3.8125,40
"254",5,3,3,3,0.575,4
"255",5,4,1,1,4.62272727272727,44
"256",5,4,1,2,3.37777777777778,45
"257",5,4,1,3,1.51666666666667,6
"258",5,4,2,1,4.41,30
"259",5,4,2,2,3.43611111111111,36
"260",5,4,2,3,1.75,4
"261",5,10,2,2,4,4
"262",5,10,2,3,2.2,1
"263",5,10,3,1,2.15,24
"264",5,10,3,2,1.23636363636364,11
"265",5,10,3,3,0.9,4
"266",5,11,1,1,2.81842105263158,38
"267",5,11,1,2,1.94666666666667,30
"268",5,11,1,3,2.4,6
"269",5,11,2,1,3.01707317073171,41
"270",5,11,2,2,2.28125,32
"271",5,11,2,3,1.34444444444444,9
"272",5,11,3,1,3.67142857142857,49
"273",5,11,3,2,2.66153846153846,26
"274",5,11,3,3,1.37142857142857,7
"275",5,12,1,1,3.26363636363636,33
"276",5,12,1,2,2.93939393939394,33
"277",5,12,1,3,1.575,8
"278",5,12,2,1,4.28888888888889,36
"279",5,12,2,2,3.73870967741935,31
"280",5,12,2,3,5.1,5
"281",5,12,3,1,4.05757575757576,33
"282",5,12,3,2,2.85151515151515,33
"283",5,12,3,3,4.3,6
"284",6,1,1,1,3.009375,32
"285",6,1,1,2,3.48333333333333,18
"286",6,1,1,3,4.15,10
"287",6,1,2,1,3.42051282051282,39
"288",6,1,2,2,4.13888888888889,18
"289",6,1,2,3,5.28333333333333,12
"290",6,1,3,1,3.78260869565217,46
"291",6,1,3,2,5.85,20
"292",6,1,3,3,5.26666666666667,9
"293",6,2,1,1,3.3906976744186,43
"294",6,2,1,2,3.7,15
"295",6,2,1,3,5.02142857142857,14
"296",6,2,2,1,3.996,25
"297",6,2,2,2,5.5,10
"298",6,2,2,3,8.94,5
"299",6,2,3,1,3.61428571428571,35
"300",6,2,3,2,3.58181818181818,11
"301",6,2,3,3,4.6875,8
"302",6,3,1,1,3.86444444444444,45
"303",6,3,1,2,1.91111111111111,9
"304",6,3,1,3,4.43333333333333,12
"305",6,3,2,1,5.37674418604651,43
"306",6,3,2,2,3.43076923076923,13
"307",6,3,2,3,5.625,12
"308",6,3,3,1,4.29622641509434,53
"309",6,3,3,2,4.76,20
"310",6,3,3,3,4.19375,16
"311",6,4,1,1,4.19583333333333,48
"312",6,4,1,2,6.26666666666667,18
"313",6,4,1,3,3.58461538461538,13
"314",6,4,2,1,5.23095238095238,42
"315",6,4,2,2,3.0875,8
